driverId,raceId,constructorId,position
1,18,1,1
9,18,2,2
5,18,1,3
13,18,6,4
2,18,2,5
15,18,7,6
3,18,3,7
14,18,9,8
10,18,7,9
20,18,5,10
22,18,11,11
4,18,4,12
18,18,11,13
6,18,3,14
17,18,9,15
8,18,6,16
21,18,10,17
7,18,5,18
16,18,10,19
11,18,8,20
12,18,4,21
19,18,8,22
13,19,6,1
8,19,6,2
5,19,1,3
1,19,1,4
15,19,7,5
9,19,2,6
2,19,2,7
17,19,9,8
4,19,4,9
10,19,7,10
18,19,11,11
14,19,9,12
12,19,4,13
22,19,11,14
20,19,5,15
3,19,3,16
21,19,10,17
6,19,3,18
7,19,5,19
11,19,8,20
16,19,10,21
19,19,8,22
9,20,2,1
13,20,6,2
1,20,1,3
8,20,6,4
5,20,1,5
2,20,2,6
15,20,7,7
3,20,3,8
18,20,11,9
4,20,4,10
17,20,9,11
22,20,11,12
10,20,7,13
12,20,4,14
7,20,5,15
6,20,3,16
14,20,9,17
21,20,10,18
20,20,5,19
16,20,10,20
19,20,8,21
11,20,8,22
8,21,6,1
4,21,4,2
13,21,6,3
9,21,2,4
1,21,1,5
5,21,1,6
17,21,9,7
15,21,7,8
2,21,2,9
12,21,4,10
22,21,11,11
6,21,3,12
18,21,11,13
10,21,7,14
3,21,3,15
7,21,5,16
14,21,9,17
20,21,5,18
21,21,10,19
16,21,10,20
19,21,8,21
11,21,8,22
13,22,6,1
5,22,1,2
1,22,1,3
8,22,6,4
9,22,2,5
17,22,9,6
4,22,4,7
15,22,7,8
2,22,2,9
14,22,9,10
3,22,3,11
22,22,11,12
18,22,11,13
20,22,5,14
10,22,7,15
6,22,3,16
12,22,4,17
7,22,5,18
21,22,10,19
16,22,10,20
13,23,6,1
8,23,6,2
1,23,1,3
5,23,1,4
9,23,2,5
3,23,3,6
4,23,4,7
15,23,7,8
17,23,9,9
14,23,9,10
10,23,7,11
18,23,11,12
2,23,2,13
6,23,3,14
22,23,11,15
7,23,5,16
12,23,4,17
20,23,5,18
16,23,10,19
21,23,10,20
1,24,1,1
9,24,2,2
8,24,6,3
4,24,4,4
3,24,3,5
13,24,6,6
5,24,1,7
2,24,2,8
22,24,11,9
17,24,9,10
10,24,7,11
6,24,3,12
14,24,9,13
15,24,7,14
12,24,4,15
7,24,5,16
16,24,10,17
21,24,10,18
18,24,11,19
20,24,5,20
