driverId,raceId,constructorId,position,milliseconds,fastestLap,fastestLapTime
830,1061,9,1,1538426,14,130013
1,1061,131,2,1539856,17,129937
822,1061,131,3,1545928,17,129958
844,1061,6,4,1549704,16,130163
846,1061,1,5,1562537,16,130566
817,1061,1,6,1569385,17,130640
4,1061,214,7,1581953,17,131773
20,1061,117,8,1582865,17,131687
847,1061,3,9,1585078,17,132208
839,1061,214,10,1585821,16,132183
832,1061,6,11,1586224,10,131991
842,1061,213,12,1587189,17,132072
8,1061,51,13,1589103,12,132139
840,1061,117,14,1590605,12,132210
841,1061,51,15,1591651,14,132457
852,1061,213,16,1591993,14,132270
849,1061,3,17,1593588,17,132143
854,1061,210,18,1606639,15,132567
853,1061,210,19,1616074,3,133462
822,1065,131,1,1674078,9,123540
830,1065,9,2,1676403,9,123502
817,1065,1,3,1688612,17,124291
846,1065,1,4,1692913,9,124554
1,1065,131,5,1694089,9,124253
844,1065,6,6,1697520,18,124677
832,1065,6,7,1702030,8,124918
841,1065,51,8,1705167,10,125126
815,1065,9,9,1705758,12,124211
840,1065,117,10,1712749,8,125349
4,1065,214,11,1713873,8,125225
20,1065,117,12,1715255,8,125493
839,1065,214,13,1717451,8,125613
849,1065,3,14,1720055,9,125711
847,1065,3,15,1720899,15,125835
852,1065,213,16,1724055,18,125847
853,1065,210,17,1736677,7,126613
9,1065,51,18,1739174,12,126772
854,1065,210,19,1740232,7,126819
822,1071,131,1,1749559,8,112300
830,1071,9,2,1750729,9,112114
832,1071,6,3,1768282,13,113167
815,1071,9,4,1769346,13,113110
1,1071,131,5,1770431,5,112357
846,1071,1,6,1772117,8,112994
844,1071,6,7,1774615,4,113140
842,1071,213,8,1783717,4,113342
839,1071,214,9,1784191,11,113615
20,1071,117,10,1784426,5,113558
817,1071,1,11,1785428,9,113463
4,1071,214,12,1786137,4,113397
841,1071,51,13,1791439,11,113627
840,1071,117,14,1793596,9,113666
852,1071,213,15,1795709,11,113747
849,1071,3,16,1796319,7,113934
847,1071,3,17,1797298,14,114056
8,1071,51,18,1799573,9,113900
854,1071,210,19,1811239,9,114387
853,1071,210,20,1817033,6,114583
830,1077,9,1,1839567,14,119154
844,1077,6,2,1842542,11,119044
815,1077,9,3,1844288,14,119012
832,1077,6,4,1857145,14,119251
846,1077,1,5,1864128,9,120030
817,1077,1,6,1867307,12,120328
822,1077,51,7,1867700,9,120219
825,1077,210,8,1870279,6,120557
4,1077,214,9,1871845,10,120639
854,1077,210,10,1873340,15,120567
847,1077,131,11,1875851,19,120756
852,1077,213,12,1877865,20,120909
20,1077,117,13,1879744,8,121044
1,1077,131,14,1881026,9,120663
840,1077,117,15,1882477,14,120948
839,1077,214,16,1883084,14,120995
842,1077,213,17,1883361,18,120599
848,1077,3,18,1888438,14,121020
849,1077,3,19,1891584,16,121437
830,1084,9,1,1590059,5,108455
844,1084,6,2,1591734,4,108321
832,1084,6,3,1595703,4,108409
847,1084,131,4,1603488,4,108979
815,1084,9,5,1608361,14,109137
839,1084,214,6,1621091,4,109384
825,1084,210,7,1624598,4,109232
1,1084,131,8,1625506,7,109516
854,1084,210,9,1627222,4,109457
822,1084,51,10,1627616,4,109674
846,1084,1,11,1628639,8,109909
817,1084,1,12,1629797,8,109996
840,1084,117,13,1638300,4,110295
855,1084,51,14,1640812,11,110165
842,1084,213,15,1642184,4,110409
848,1084,3,16,1642471,5,110367
852,1084,213,17,1644615,4,110267
849,1084,3,18,1658753,4,110284
847,1095,131,1,1811307,4,114233
832,1095,6,2,1815302,2,114522
1,1095,131,3,1815799,3,114317
830,1095,9,4,1821801,5,114507
815,1095,9,5,1823162,5,114699
844,1095,6,6,1824440,4,115236
846,1095,1,7,1836931,4,115380
825,1095,210,8,1840075,2,115110
20,1095,117,9,1841525,4,115451
842,1095,213,10,1845477,3,115290
817,1095,1,11,1850702,5,115385
854,1095,210,12,1852466,5,115771
855,1095,51,13,1853070,7,115765
822,1095,51,14,1853645,8,115980
852,1095,213,15,1861613,4,116413
840,1095,117,16,1862007,4,115425
839,1095,214,17,1863063,5,116097
4,1095,214,18,1865292,5,114764
849,1095,3,19,1888157,4,116525
