driverId,driver_name,dob,nationality,dob_formatted,raceId,grid,results_position,positionText,positionOrder,total_results_points,results_laps,fastestLap,rank,race_time,results_fastestLaptime,fastestLapSpeed,statusId,status,year,round,circuitId,races_name,date,dstnd_points,dstnd_position,wins,driver_country,race_country,avg_lap_time,winner_name,win_ratio,dstnd_points_c,results_laps_c,wins_c
1,Lewis Hamilton,1-7-1985,British,1985,2,12,7,7,7,1,31,17,11,4312825,01:39.1,201.276,1,Finished,2009,2,2,Malaysian Grand Prix,2009-04-05,1,10,0,Unitied Kingdom,Malaysia,109398.5484,N-A,0,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,3,9,6,6,6,3,56,39,12,7135351,01:54.7,171.138,1,Finished,2009,3,17,Chinese Grand Prix,2009-04-19,4,10,0,Unitied Kingdom,China,127416.9821,N-A,0,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,4,5,4,4,4,5,57,13,6,5530278,01:34.9,205.269,1,Finished,2009,4,3,Bahrain Grand Prix,2009-04-26,9,7,0,Unitied Kingdom,Bahrain,97022.42105,N-A,0,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,7,16,13,13,13,0,58,53,15,5265302,01:28.6,216.986,1,Finished,2009,7,5,Turkish Grand Prix,2009-06-07,9,11,0,Unitied Kingdom,Turkey,90781.06897,N-A,0,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,10,4,1,1,1,10,70,16,4,5903876,01:22.5,191.219,1,Finished,2009,10,11,Hungarian Grand Prix,2009-07-26,19,8,1,Unitied Kingdom,Hungary,84341.08571,Lewis Hamilton,0.125,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,11,1,2,2,2,8,57,57,4,5753647,01:39.1,196.943,1,Finished,2009,11,12,European Grand Prix,2009-08-23,27,6,1,Unitied Kingdom,Europe,100941.1754,N-A,0.166666667,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,14,1,1,1,1,10,61,36,2,6966337,01:48.3,168.561,1,Finished,2009,14,15,Singapore Grand Prix,2009-09-27,37,6,2,Unitied Kingdom,Singapore,114202.2459,Lewis Hamilton,0.333333333,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,15,3,3,3,3,6,53,13,6,5306915,01:33.3,224.162,1,Finished,2009,15,22,Japanese Grand Prix,2009-10-04,43,6,2,Unitied Kingdom,Japan,100130.4717,N-A,0.333333333,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,16,17,3,3,3,6,71,59,6,5562025,01:14.3,208.654,1,Finished,2009,16,18,Brazilian Grand Prix,2009-10-18,49,5,2,Unitied Kingdom,Brazil,78338.38028,N-A,0.4,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,18,1,1,1,1,10,58,39,2,5690616,01:27.5,218.3,1,Finished,2008,1,1,Australian Grand Prix,2008-03-16,10,1,1,Unitied Kingdom,Australia,98114.06897,Lewis Hamilton,1,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,19,9,5,5,5,4,56,53,3,5525103,01:35.5,209.033,1,Finished,2008,2,2,Malaysian Grand Prix,2008-03-23,14,1,1,Unitied Kingdom,Malaysia,98662.55357,N-A,1,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,21,5,3,3,3,6,66,20,3,5903238,01:22.0,204.323,1,Finished,2008,4,4,Spanish Grand Prix,2008-04-27,20,2,1,Unitied Kingdom,Spain,89443,N-A,0.5,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,22,3,2,2,2,8,58,31,2,5213230,01:26.5,222.085,1,Finished,2008,5,5,Turkish Grand Prix,2008-05-11,28,3,1,Unitied Kingdom,Turkey,89883.27586,N-A,0.333333333,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,23,3,1,1,1,10,76,71,6,7242742,01:18.5,153.152,1,Finished,2008,6,6,Monaco Grand Prix,2008-05-25,38,1,2,Unitied Kingdom,Monaco,95299.23684,Lewis Hamilton,2,4405.5,17623,103
1,Lewis Hamilton,1-7-1985,British,1985,25,13,10,10,10,0,70,40,5,5564783,01:17.5,205.022,1,Finished,2008,8,8,French Grand Prix,2008-06-22,38,4,2,Unitied Kingdom,France,79496.65714,N-A,0.5,4405.5,17623,103
