,circuitId,circuitRef,circ_name
0,1,albert_park,Albert Park Grand Prix Circuit
1,2,sepang,Sepang International Circuit
2,3,bahrain,Bahrain International Circuit
3,4,catalunya,Circuit de Barcelona-Catalunya
4,5,istanbul,Istanbul Park
5,6,monaco,Circuit de Monaco
6,7,villeneuve,Circuit Gilles Villeneuve
7,8,magny_cours,Circuit de Nevers Magny-Cours
8,9,silverstone,Silverstone Circuit
9,10,hockenheimring,Hockenheimring
10,11,hungaroring,Hungaroring
11,12,valencia,Valencia Street Circuit
12,13,spa,Circuit de Spa-Francorchamps
13,14,monza,Autodromo Nazionale di Monza
14,15,marina_bay,Marina Bay Street Circuit
15,16,fuji,Fuji Speedway
16,17,shanghai,Shanghai International Circuit
17,18,interlagos,Autódromo José Carlos Pace
18,19,indianapolis,Indianapolis Motor Speedway
19,20,nurburgring,Nürburgring
20,21,imola,Autodromo Enzo e Dino Ferrari
21,22,suzuka,Suzuka Circuit
22,24,yas_marina,Yas Marina Circuit
23,25,galvez,Autódromo Juan y Oscar Gálvez
24,26,jerez,Circuito de Jerez
25,27,estoril,Autódromo do Estoril
26,28,okayama,Okayama International Circuit
27,29,adelaide,Adelaide Street Circuit
28,30,kyalami,Kyalami
29,31,donington,Donington Park
30,32,rodriguez,Autódromo Hermanos Rodríguez
31,33,phoenix,Phoenix street circuit
32,34,ricard,Circuit Paul Ricard
33,35,yeongam,Korean International Circuit
34,36,jacarepagua,Autódromo Internacional Nelson Piquet
35,37,detroit,Detroit Street Circuit
36,38,brands_hatch,Brands Hatch
37,39,zandvoort,Circuit Park Zandvoort
38,40,zolder,Zolder
39,41,dijon,Dijon-Prenois
40,42,dallas,Fair Park
41,43,long_beach,Long Beach
42,44,las_vegas,Las Vegas Street Circuit
43,45,jarama,Jarama
44,46,watkins_glen,Watkins Glen
45,47,anderstorp,Scandinavian Raceway
46,48,mosport,Mosport International Raceway
47,49,montjuic,Montjuïc
48,50,nivelles,Nivelles-Baulers
49,51,charade,Charade Circuit
50,52,tremblant,Circuit Mont-Tremblant
51,53,essarts,Rouen-Les-Essarts
52,54,lemans,Le Mans
53,55,reims,Reims-Gueux
54,56,george,Prince George Circuit
55,57,zeltweg,Zeltweg
56,58,aintree,Aintree
57,59,boavista,Circuito da Boavista
58,60,riverside,Riverside International Raceway
59,61,avus,AVUS
60,62,monsanto,Monsanto Park Circuit
61,63,sebring,Sebring International Raceway
62,64,ain-diab,Ain Diab
63,65,pescara,Pescara Circuit
64,66,bremgarten,Circuit Bremgarten
65,67,pedralbes,Circuit de Pedralbes
66,68,buddh,Buddh International Circuit
67,69,americas,Circuit of the Americas
68,70,red_bull_ring,Red Bull Ring
69,71,sochi,Sochi Autodrom
70,73,baku,Baku City Circuit
71,75,portimao,Autódromo Internacional do Algarve
72,76,mugello,Autodromo Internazionale del Mugello
73,77,jeddah,Jeddah Corniche Circuit
74,78,losail,Losail International Circuit
75,79,miami,Miami International Autodrome
