,driverId,driver_number,dob,nationality
0,1,44,1985-01-07,British
1,2,\N,1977-05-10,German
2,3,6,1985-06-27,German
3,4,14,1981-07-29,Spanish
4,5,\N,1981-10-19,Finnish
5,6,\N,1985-01-11,Japanese
6,7,\N,1979-02-28,French
7,8,7,1979-10-17,Finnish
8,9,88,1984-12-07,Polish
9,10,\N,1982-03-18,German
10,11,\N,1977-01-28,Japanese
11,12,\N,1985-07-25,Brazilian
12,13,19,1981-04-25,Brazilian
13,14,\N,1971-03-27,British
14,15,\N,1974-07-13,Italian
15,16,99,1983-01-11,German
16,17,\N,1976-08-27,Australian
17,18,22,1980-01-19,British
18,19,\N,1979-04-18,British
19,20,5,1987-07-03,German
20,21,\N,1973-01-14,Italian
21,22,\N,1972-05-23,Brazilian
22,23,\N,1975-06-30,German
23,24,\N,1980-08-06,Italian
24,25,\N,1974-02-15,Austrian
25,26,\N,1983-01-24,American
26,27,\N,1979-04-16,Dutch
27,28,\N,1980-06-13,German
28,29,\N,1982-07-09,Japanese
29,30,\N,1969-01-03,German
30,31,\N,1975-09-20,Colombian
31,32,\N,1983-02-07,Austrian
32,33,\N,1976-07-24,Portuguese
33,34,\N,1975-01-21,Japanese
34,35,\N,1971-04-09,Canadian
35,36,\N,1978-01-05,French
36,37,\N,1971-02-24,Spanish
37,38,\N,1981-09-23,Dutch
38,39,\N,1977-01-14,Indian
39,40,\N,1980-09-26,Austrian
40,41,\N,1976-03-23,Brazilian
41,42,\N,1980-09-11,Brazilian
42,43,\N,1973-09-19,Brazilian
43,44,\N,1966-09-02,French
44,45,\N,1979-02-04,Italian
45,46,\N,1981-05-30,Italian
46,47,\N,1981-01-01,Hungarian
47,48,\N,1974-03-29,Spanish
48,49,\N,1967-05-18,German
49,50,\N,1972-03-04,Dutch
50,51,\N,1978-07-31,British
51,52,\N,1975-05-20,Irish
52,53,\N,1978-03-03,Danish
53,54,\N,1975-03-05,Brazilian
54,55,\N,1964-06-11,French
55,56,\N,1965-11-10,British
56,57,\N,1968-09-28,Finnish
57,58,\N,1976-01-19,Brazilian
58,59,\N,1978-10-19,Brazilian
59,60,\N,1975-05-08,Argentine
60,61,\N,1976-09-11,Czech
61,62,\N,1976-07-20,Malaysian
62,63,\N,1966-11-30,Finnish
63,64,\N,1970-05-22,Brazilian
64,65,\N,1964-06-25,British
65,66,\N,1969-12-29,British
66,67,\N,1988-10-31,Swiss
67,68,\N,1974-02-12,Japanese
68,69,\N,1971-01-25,Italian
69,70,\N,1966-10-23,Italian
70,71,\N,1960-09-17,British
71,72,\N,1975-11-02,French
72,73,\N,1968-07-27,Brazilian
73,74,\N,1978-04-22,Argentine
74,75,\N,1971-04-01,Japanese
75,76,\N,1973-07-04,Danish
76,77,\N,1959-08-27,Austrian
77,78,\N,1964-03-19,Italian
78,79,\N,1963-05-29,Japanese
79,80,\N,1966-10-07,Italian
80,81,\N,1968-01-13,Italian
81,82,\N,1975-01-20,Argentine
82,83,\N,1972-03-20,Portuguese
83,84,\N,1959-06-01,British
84,85,\N,1964-05-30,Italian
85,86,\N,1958-02-18,Italian
86,87,\N,1966-04-08,British
87,88,\N,1960-09-08,Japanese
88,89,\N,1963-09-05,Japanese
89,90,\N,1959-02-11,Brazilian
90,91,\N,1968-12-20,Austrian
91,92,\N,1962-12-23,Belgian
92,93,\N,1967-11-17,Italian
93,94,\N,1961-04-23,Italian
94,95,\N,1953-08-08,British
95,96,\N,1969-12-27,French
96,97,\N,1969-10-03,Italian
97,98,\N,1963-10-01,Swiss
98,99,\N,1962-03-02,Italian
99,100,\N,1963-09-28,French
100,101,\N,1965-09-05,Australian
101,102,\N,1960-03-21,Brazilian
102,103,\N,1964-08-24,French
103,104,\N,1971-01-18,Brazilian
104,105,\N,1956-12-23,Italian
105,106,\N,1969-11-23,Monegasque
106,107,\N,1960-07-04,Austrian
107,108,\N,1963-04-23,French
108,109,\N,1966-01-31,Finnish
109,110,\N,1959-05-31,Italian
110,111,\N,1963-01-01,French
111,112,\N,1954-07-27,French
112,113,\N,1969-11-19,Belgian
113,114,\N,1961-07-28,French
114,115,\N,1969-03-07,Japanese
115,116,\N,1968-09-01,French
116,117,\N,1955-02-24,French
117,118,\N,1954-08-27,British
118,119,\N,1954-04-17,Italian
119,120,\N,1963-04-02,Italian
120,121,\N,1962-10-05,American
121,122,\N,1963-05-24,Italian
122,123,\N,1957-07-13,Belgian
123,124,\N,1965-10-07,Italian
124,125,\N,1968-02-24,Italian
125,126,\N,1955-03-10,Japanese
126,127,\N,1963-04-20,Brazilian
127,128,\N,1961-09-30,Belgian
128,129,\N,1958-09-02,French
129,130,\N,1964-05-06,Swiss
130,131,\N,1963-05-12,Italian
131,132,\N,1959-07-20,Italian
132,133,\N,1964-03-18,Italian
133,134,\N,1964-09-19,Italian
134,135,\N,1961-03-03,British
135,136,\N,1956-06-02,Dutch
136,137,\N,1952-08-17,Brazilian
137,138,\N,1953-02-23,Japanese
138,139,\N,1962-01-12,Italian
139,140,\N,1956-09-08,Swedish
140,141,\N,1961-10-09,British
141,142,\N,1965-02-27,Portuguese
142,143,\N,1968-03-08,German
143,144,\N,1966-06-13,Japanese
144,145,\N,1959-07-07,Italian
145,146,\N,1964-07-20,German
146,147,\N,1961-04-20,Italian
147,148,\N,1965-03-27,Swiss
148,149,\N,1960-07-20,Italian
149,150,\N,1961-03-29,Australian
150,151,\N,1964-03-26,British
151,152,\N,1952-09-10,Italian
152,153,\N,1990-03-23,Spanish
153,154,8,1986-04-17,French
154,155,10,1986-09-13,Japanese
155,156,\N,1956-11-07,British
156,157,\N,1958-04-04,German
157,158,\N,1958-01-10,American
158,159,\N,1959-05-15,Spanish
159,160,\N,1952-01-16,Italian
160,161,\N,1962-03-18,German
161,162,\N,1961-05-27,French
162,163,\N,1948-07-04,French
163,164,\N,1960-10-24,German
164,165,\N,1954-08-19,Argentine
165,166,\N,1955-06-26,French
