,driverId,raceId,lap,pit_ms
0,153,841,1,26898
1,30,841,1,25021
2,17,841,11,23426
3,4,841,12,23251
4,13,841,13,23842
5,22,841,13,23643
6,20,841,14,22603
7,814,841,14,24863
8,816,841,14,25259
9,67,841,15,25342
10,2,841,15,22994
11,1,841,16,23227
12,808,841,16,24535
13,3,841,16,23716
14,155,841,16,24064
15,16,841,16,25978
16,15,841,16,24899
17,18,841,17,16867
18,153,841,17,24463
19,5,841,17,24865
20,30,841,17,23988
21,10,841,18,23792
22,18,841,19,23303
23,815,841,23,23438
24,22,841,23,37856
25,17,841,26,22520
26,4,841,27,24733
27,22,841,28,16892
28,67,841,29,23100
29,2,841,30,25098
30,13,841,31,24500
31,155,841,32,24192
32,20,841,36,24036
33,1,841,36,23199
34,153,841,35,26348
35,808,841,36,25683
36,814,841,36,24332
37,18,841,37,22681
38,16,841,37,23871
39,15,841,37,24848
40,816,841,38,26446
41,17,841,41,26230
42,22,841,40,26309
43,4,841,42,24181
44,13,841,48,24095
45,16,842,3,31694
46,22,842,3,32978
47,17,842,10,22572
48,814,842,11,22773
49,1,842,12,22552
50,20,842,13,23019
51,2,842,13,23900
52,18,842,13,22400
53,13,842,13,29224
54,15,842,13,25516
55,4,842,14,23152
56,30,842,14,22576
57,808,842,15,23182
58,67,842,15,23280
59,3,842,15,24967
60,5,842,15,29084
61,153,842,16,23584
62,16,842,16,22046
63,155,842,17,23280
64,815,842,17,23597
65,10,842,17,24617
66,816,842,17,26252
67,24,842,17,27815
68,22,842,17,24502
69,67,842,20,29843
70,17,842,22,21991
71,18,842,23,22471
72,1,842,24,22611
73,814,842,24,22419
74,20,842,25,21893
75,4,842,26,23894
76,2,842,26,23221
77,13,842,27,22541
78,808,842,27,22680
79,30,842,28,22261
80,3,842,29,22577
81,17,842,32,22069
82,153,842,32,22888
83,16,842,32,22550
84,67,842,32,27439
85,5,842,34,23336
86,10,842,34,24429
87,816,842,35,24416
88,155,842,36,23442
89,1,842,37,25382
90,814,842,37,23977
91,18,842,38,22483
92,13,842,38,22893
93,2,842,39,22602
94,24,842,38,26554
95,3,842,40,22526
96,20,842,41,22313
97,4,842,41,23812
98,30,842,42,22227
99,17,842,43,22161
100,808,842,44,28694
101,4,842,46,27182
102,24,842,44,38823
103,1,842,52,22466
104,153,843,9,22419
105,24,843,9,14160
106,30,843,10,20522
107,17,843,10,23442
108,813,843,10,23160
109,814,843,11,21989
110,3,843,12,20771
111,67,843,12,22010
112,18,843,14,23779
113,20,843,14,21995
114,155,843,14,21855
115,13,843,15,21624
116,1,843,15,20878
117,16,843,15,20989
118,4,843,16,22524
119,815,843,16,21473
120,22,843,16,21709
121,67,843,16,24722
122,10,843,16,22683
123,808,843,17,21981
124,2,843,18,22216
125,5,843,19,22485
126,15,843,20,23029
127,816,843,20,22901
128,24,843,21,24467
129,39,843,23,26049
130,18,843,24,20758
131,3,843,25,22005
132,1,843,25,20533
133,17,843,25,21132
134,813,843,25,22062
