,driverId,raceId,position,q1,q2,q3
0,1,18,1,1:26.572,1:25.187,1:26.714
1,9,18,2,1:26.103,1:25.315,1:26.869
2,5,18,3,1:25.664,1:25.452,1:27.079
3,13,18,4,1:25.994,1:25.691,1:27.178
4,2,18,5,1:25.960,1:25.518,1:27.236
5,15,18,6,1:26.427,1:26.101,1:28.527
6,3,18,7,1:26.295,1:26.059,1:28.687
7,14,18,8,1:26.381,1:26.063,1:29.041
8,10,18,9,1:26.919,1:26.164,1:29.593
9,20,18,10,1:26.702,1:25.842,\N
10,22,18,11,1:26.369,1:26.173,\N
11,4,18,12,1:26.907,1:26.188,\N
12,18,18,13,1:26.712,1:26.259,\N
13,6,18,14,1:26.891,1:26.413,\N
14,17,18,15,1:26.914,\N,\N
15,8,18,16,1:26.140,\N,\N
16,21,18,17,1:27.207,\N,\N
17,7,18,18,1:27.446,\N,\N
18,16,18,19,1:27.859,\N,\N
19,11,18,20,1:28.208,\N,\N
20,12,18,21,1:28.330,\N,\N
21,19,18,22,1:29.059,\N,\N
22,13,19,1,1:35.347,1:34.412,1:35.748
23,8,19,2,1:35.645,1:34.188,1:36.230
24,5,19,3,1:35.227,1:34.759,1:36.613
25,1,19,4,1:35.392,1:34.627,1:36.709
26,15,19,5,1:35.205,1:34.960,1:36.711
27,9,19,6,1:35.794,1:34.811,1:36.727
28,2,19,7,1:35.729,1:34.648,1:36.753
29,17,19,8,1:35.440,1:34.967,1:37.009
30,4,19,9,1:35.983,1:35.140,1:38.450
31,10,19,10,1:35.891,1:35.000,1:39.656
32,18,19,11,1:35.847,1:35.208,\N
33,14,19,12,1:36.058,1:35.408,\N
34,12,19,13,1:36.074,1:35.562,\N
35,22,19,14,1:36.198,1:35.622,\N
36,20,19,15,1:36.111,1:35.648,\N
37,3,19,16,1:35.843,1:35.670,\N
38,21,19,17,1:36.240,\N,\N
39,6,19,18,1:36.388,\N,\N
40,7,19,19,1:36.677,\N,\N
41,11,19,20,1:37.087,\N,\N
42,16,19,21,1:37.101,\N,\N
43,19,19,22,1:37.481,\N,\N
44,9,20,1,1:32.893,1:31.745,1:33.096
45,13,20,2,1:31.937,1:31.188,1:33.123
46,1,20,3,1:32.750,1:31.922,1:33.292
47,8,20,4,1:32.652,1:31.933,1:33.418
48,5,20,5,1:33.057,1:31.718,1:33.488
49,2,20,6,1:33.137,1:31.909,1:33.737
50,15,20,7,1:32.493,1:32.159,1:33.994
51,3,20,8,1:32.903,1:32.185,1:34.015
52,18,20,9,1:32.793,1:32.362,1:35.057
53,4,20,10,1:32.947,1:32.345,1:35.115
54,17,20,11,1:33.194,1:32.371,\N
55,22,20,12,1:32.944,1:32.508,\N
56,10,20,13,1:32.800,1:32.528,\N
57,12,20,14,1:32.975,1:32.790,\N
58,7,20,15,1:33.415,1:32.915,\N
59,6,20,16,1:33.386,1:32.943,\N
60,14,20,17,1:33.433,\N,\N
61,21,20,18,1:33.501,\N,\N
62,20,20,19,1:33.562,\N,\N
63,16,20,20,1:33.845,\N,\N
64,19,20,21,1:34.140,\N,\N
65,11,20,22,1:35.725,\N,\N
66,8,21,1,1:20.701,1:20.784,1:21.813
67,4,21,2,1:21.347,1:20.804,1:21.904
68,13,21,3,1:21.528,1:20.584,1:22.058
69,9,21,4,1:21.423,1:20.597,1:22.065
70,1,21,5,1:21.366,1:20.825,1:22.096
71,5,21,6,1:21.430,1:20.817,1:22.231
72,17,21,7,1:21.494,1:20.984,1:22.429
73,15,21,8,1:21.158,1:20.907,1:22.529
74,2,21,9,1:21.466,1:20.815,1:22.542
75,12,21,10,1:21.409,1:20.894,1:22.699
76,22,21,11,1:21.548,1:21.049,\N
77,6,21,12,1:21.690,1:21.117,\N
78,18,21,13,1:21.757,1:21.211,\N
79,10,21,14,1:21.427,1:21.230,\N
80,3,21,15,1:21.472,1:21.349,\N
81,7,21,16,1:21.540,1:21.724,\N
82,14,21,17,1:21.810,\N,\N
83,20,21,18,1:22.108,\N,\N
84,21,21,19,1:22.516,\N,\N
85,16,21,20,1:23.224,\N,\N
86,19,21,21,1:23.318,\N,\N
87,11,21,22,1:23.496,\N,\N
88,13,22,1,1:25.994,1:26.192,1:27.617
89,5,22,2,1:26.736,1:26.290,1:27.808
90,1,22,3,1:26.192,1:26.477,1:27.923
91,8,22,4,1:26.457,1:26.050,1:27.936
92,9,22,5,1:26.761,1:26.129,1:28.390
93,17,22,6,1:26.773,1:26.466,1:28.417
94,4,22,7,1:26.836,1:26.522,1:28.422
95,15,22,8,1:26.695,1:26.822,1:28.836
96,2,22,9,1:27.107,1:27.607,1:28.882
97,14,22,10,1:26.939,1:26.520,1:29.959
98,3,22,11,1:27.367,1:27.012,\N
99,22,22,12,1:27.355,1:27.219,\N
100,18,22,13,1:27.428,1:27.298,\N
101,20,22,14,1:27.442,1:27.412,\N
102,10,22,15,1:26.614,1:27.806,\N
103,6,22,16,1:27.547,\N,\N
104,12,22,17,1:27.568,\N,\N
105,7,22,18,1:27.621,\N,\N
106,21,22,19,1:27.807,\N,\N
107,16,22,20,1:28.325,\N,\N
108,13,23,1,1:15.190,1:15.110,1:15.787
109,8,23,2,1:15.717,1:15.404,1:15.815
110,1,23,3,1:15.582,1:15.322,1:15.839
111,5,23,4,1:15.295,1:15.389,1:16.165
112,9,23,5,1:15.977,1:15.483,1:16.171
113,3,23,6,1:15.935,1:15.287,1:16.548
114,4,23,7,1:16.646,1:15.827,1:16.852
115,15,23,8,1:16.306,1:15.598,1:17.203
116,17,23,9,1:16.074,1:15.745,1:17.343
117,14,23,10,1:16.086,1:15.839,\N
118,10,23,11,1:16.285,1:15.907,\N
119,18,23,12,1:16.259,1:16.101,\N
120,2,23,13,1:16.650,1:16.455,\N
121,6,23,14,1:16.756,1:16.479,\N
122,22,23,15,1:16.208,1:16.537,\N
123,7,23,16,1:16.806,\N,\N
124,12,23,17,1:16.933,\N,\N
125,20,23,18,1:16.955,\N,\N
126,16,23,19,1:17.225,\N,\N
127,21,23,20,1:17.823,\N,\N
128,1,24,1,1:16.909,1:17.034,1:17.886
129,9,24,2,1:17.471,1:17.679,1:18.498
130,8,24,3,1:17.301,1:17.364,1:18.735
131,4,24,4,1:17.415,1:17.488,1:18.746
132,3,24,5,1:17.991,1:17.891,1:18.844
133,13,24,6,1:17.231,1:17.353,1:19.048
134,5,24,7,1:17.287,1:17.684,1:19.089
135,2,24,8,1:18.082,1:17.781,1:19.633
136,22,24,9,1:18.256,1:18.020,1:20.848
137,17,24,10,1:17.582,1:17.523,\N
138,10,24,11,1:18.321,1:18.031,\N
139,6,24,12,1:17.638,1:18.062,\N
140,14,24,13,1:18.168,1:18.238,\N
141,15,24,14,1:18.039,1:18.327,\N
142,12,24,15,1:18.505,1:18.393,\N
143,7,24,16,1:18.916,\N,\N
144,16,24,17,1:19.108,\N,\N
145,21,24,18,1:19.165,\N,\N
146,18,24,19,1:23.565,\N,\N
147,20,24,20,\N,\N,\N
148,8,25,1,1:15.133,1:15.161,1:16.449
149,13,25,2,1:15.024,1:15.041,1:16.490
150,1,25,3,1:15.634,1:15.293,1:16.693
151,4,25,4,1:15.754,1:15.483,1:16.840
152,15,25,5,1:15.521,1:15.362,1:16.920
153,5,25,6,1:15.965,1:15.639,1:16.944
154,9,25,7,1:15.687,1:15.723,1:17.037
155,17,25,8,1:16.020,1:15.488,1:17.233
156,14,25,9,1:15.802,1:15.654,1:17.426
157,10,25,10,1:15.727,1:15.558,1:17.596
158,12,25,11,1:15.848,1:15.770,\N
159,2,25,12,1:16.006,1:15.786,\N
160,20,25,13,1:15.918,1:15.816,\N
161,7,25,14,1:16.072,1:16.045,\N
162,3,25,15,1:16.085,1:16.235,\N
163,6,25,16,1:16.243,\N,\N
164,18,25,17,1:16.306,\N,\N
165,22,25,18,1:16.330,\N,\N
166,21,25,19,1:16.971,\N,\N
167,16,25,20,1:17.053,\N,\N
168,5,26,1,1:19.957,1:19.597,1:21.049
169,17,26,2,1:20.982,1:19.710,1:21.554
170,8,26,3,1:20.370,1:19.971,1:21.706
171,1,26,4,1:20.288,1:19.537,1:21.835
172,2,26,5,1:21.022,1:19.802,1:21.873
173,4,26,6,1:20.998,1:19.992,1:22.029
174,12,26,7,1:20.818,1:20.115,1:22.491
175,20,26,8,1:20.318,1:20.109,1:23.251
176,13,26,9,1:20.676,1:20.086,1:23.305
177,9,26,10,1:20.444,1:19.788,\N
178,14,26,11,1:21.224,1:20.174,\N
179,10,26,12,1:20.893,1:20.274,\N
180,7,26,13,1:20.584,1:20.531,\N
181,15,26,14,1:21.145,1:20.601,\N
182,6,26,15,1:21.407,1:21.112,\N
183,22,26,16,1:21.512,\N,\N
184,18,26,17,1:21.631,\N,\N
185,3,26,18,1:21.668,\N,\N
186,16,26,19,1:21.786,\N,\N
187,21,26,20,1:21.885,\N,\N
188,1,27,1,1:15.218,1:14.603,1:15.666
189,13,27,2,1:14.921,1:14.747,1:15.859
190,5,27,3,1:15.476,1:14.855,1:16.143
191,15,27,4,1:15.560,1:15.122,1:16.191
192,4,27,5,1:15.917,1:14.943,1:16.385
193,8,27,6,1:15.201,1:14.949,1:16.389
194,9,27,7,1:15.985,1:15.109,1:16.521
195,17,27,8,1:15.900,1:15.481,1:17.014
196,20,27,9,1:15.532,1:15.420,1:17.244
197,14,27,10,1:15.975,1:15.338,1:17.503
198,10,27,11,1:15.560,1:15.508,\N
199,2,27,12,1:15.596,1:15.581,\N
200,3,27,13,1:15.863,1:15.633,\N
201,18,27,14,1:15.993,1:15.701,\N
