driver_name,driverId,dob,nationality,dob_formatted,raceId,grid,results_position,positionText,positionOrder,total_results_points,results_laps,fastestLap,rank,race_time,results_fastestlaptime,fastestLapSpeed,statusId,status,year,round,circuitId,races_name,date,dstnd_points,dstnd_position,wins,driver_country,race_country,avg_lap_time,winner_name,win_ratio
Lewis Hamilton,1,1/7/1985,British,1985,2.0,12.0,7.0,7,7.0,1.0,31.0,17.0,11.0,4312825.0,01:39.1,201.276,1.0,Finished,2009,2.0,2.0,Malaysian Grand Prix,2009-04-05,1.0,10.0,0.0,Unitied Kingdom,Malaysia,109398.54838709677,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,3.0,9.0,6.0,6,6.0,3.0,56.0,39.0,12.0,7135351.0,01:54.7,171.138,1.0,Finished,2009,3.0,17.0,Chinese Grand Prix,2009-04-19,4.0,10.0,0.0,Unitied Kingdom,China,127416.98214285714,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,4.0,5.0,4.0,4,4.0,5.0,57.0,13.0,6.0,5530278.0,01:34.9,205.269,1.0,Finished,2009,4.0,3.0,Bahrain Grand Prix,2009-04-26,9.0,7.0,0.0,Unitied Kingdom,Bahrain,97022.42105263157,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,7.0,16.0,13.0,13,13.0,0.0,58.0,53.0,15.0,5265302.0,01:28.6,216.986,1.0,Finished,2009,7.0,5.0,Turkish Grand Prix,2009-06-07,9.0,11.0,0.0,Unitied Kingdom,Turkey,90781.06896551725,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,10.0,4.0,1.0,1,1.0,10.0,70.0,16.0,4.0,5903876.0,01:22.5,191.219,1.0,Finished,2009,10.0,11.0,Hungarian Grand Prix,2009-07-26,19.0,8.0,1.0,Unitied Kingdom,Hungary,84341.08571428571,Lewis Hamilton,0.125
Lewis Hamilton,1,1/7/1985,British,1985,11.0,1.0,2.0,2,2.0,8.0,57.0,57.0,4.0,5753647.0,01:39.1,196.943,1.0,Finished,2009,11.0,12.0,European Grand Prix,2009-08-23,27.0,6.0,1.0,Unitied Kingdom,Europe,100941.17543859649,N/A,0.16666666666666666
Lewis Hamilton,1,1/7/1985,British,1985,14.0,1.0,1.0,1,1.0,10.0,61.0,36.0,2.0,6966337.0,01:48.3,168.561,1.0,Finished,2009,14.0,15.0,Singapore Grand Prix,2009-09-27,37.0,6.0,2.0,Unitied Kingdom,Singapore,114202.24590163934,Lewis Hamilton,0.3333333333333333
Lewis Hamilton,1,1/7/1985,British,1985,15.0,3.0,3.0,3,3.0,6.0,53.0,13.0,6.0,5306915.0,01:33.3,224.162,1.0,Finished,2009,15.0,22.0,Japanese Grand Prix,2009-10-04,43.0,6.0,2.0,Unitied Kingdom,Japan,100130.47169811321,N/A,0.3333333333333333
Lewis Hamilton,1,1/7/1985,British,1985,16.0,17.0,3.0,3,3.0,6.0,71.0,59.0,6.0,5562025.0,01:14.3,208.654,1.0,Finished,2009,16.0,18.0,Brazilian Grand Prix,2009-10-18,49.0,5.0,2.0,Unitied Kingdom,Brazil,78338.38028169014,N/A,0.4
Lewis Hamilton,1,1/7/1985,British,1985,18.0,1.0,1.0,1,1.0,10.0,58.0,39.0,2.0,5690616.0,01:27.5,218.3,1.0,Finished,2008,1.0,1.0,Australian Grand Prix,2008-03-16,10.0,1.0,1.0,Unitied Kingdom,Australia,98114.06896551725,Lewis Hamilton,1.0
Lewis Hamilton,1,1/7/1985,British,1985,19.0,9.0,5.0,5,5.0,4.0,56.0,53.0,3.0,5525103.0,01:35.5,209.033,1.0,Finished,2008,2.0,2.0,Malaysian Grand Prix,2008-03-23,14.0,1.0,1.0,Unitied Kingdom,Malaysia,98662.55357142857,N/A,1.0
Lewis Hamilton,1,1/7/1985,British,1985,21.0,5.0,3.0,3,3.0,6.0,66.0,20.0,3.0,5903238.0,01:22.0,204.323,1.0,Finished,2008,4.0,4.0,Spanish Grand Prix,2008-04-27,20.0,2.0,1.0,Unitied Kingdom,Spain,89443.0,N/A,0.5
Lewis Hamilton,1,1/7/1985,British,1985,22.0,3.0,2.0,2,2.0,8.0,58.0,31.0,2.0,5213230.0,01:26.5,222.085,1.0,Finished,2008,5.0,5.0,Turkish Grand Prix,2008-05-11,28.0,3.0,1.0,Unitied Kingdom,Turkey,89883.27586206897,N/A,0.3333333333333333
Lewis Hamilton,1,1/7/1985,British,1985,23.0,3.0,1.0,1,1.0,10.0,76.0,71.0,6.0,7242742.0,01:18.5,153.152,1.0,Finished,2008,6.0,6.0,Monaco Grand Prix,2008-05-25,38.0,1.0,2.0,Unitied Kingdom,Monaco,95299.23684210527,Lewis Hamilton,2.0
Lewis Hamilton,1,1/7/1985,British,1985,25.0,13.0,10.0,10,10.0,0.0,70.0,40.0,5.0,5564783.0,01:17.5,205.022,1.0,Finished,2008,8.0,8.0,French Grand Prix,2008-06-22,38.0,4.0,2.0,Unitied Kingdom,France,79496.65714285715,N/A,0.5
Lewis Hamilton,1,1/7/1985,British,1985,26.0,4.0,1.0,1,1.0,10.0,60.0,16.0,3.0,5949440.0,01:32.8,199.398,1.0,Finished,2008,9.0,9.0,British Grand Prix,2008-07-06,48.0,1.0,3.0,Unitied Kingdom,United Kingdom,99157.33333333333,Lewis Hamilton,3.0
Lewis Hamilton,1,1/7/1985,British,1985,27.0,1.0,1.0,1,1.0,10.0,67.0,17.0,2.0,5480874.0,01:16.0,216.552,1.0,Finished,2008,10.0,10.0,German Grand Prix,2008-07-20,58.0,1.0,4.0,Unitied Kingdom,Germany,81804.0895522388,Lewis Hamilton,4.0
Lewis Hamilton,1,1/7/1985,British,1985,28.0,1.0,5.0,5,5.0,4.0,70.0,15.0,3.0,5870115.0,01:21.5,193.533,1.0,Finished,2008,11.0,11.0,Hungarian Grand Prix,2008-08-03,62.0,1.0,4.0,Unitied Kingdom,Hungary,83858.78571428571,N/A,4.0
Lewis Hamilton,1,1/7/1985,British,1985,29.0,2.0,2.0,2,2.0,8.0,57.0,16.0,2.0,5737950.0,01:38.9,197.285,1.0,Finished,2008,12.0,12.0,European Grand Prix,2008-08-24,70.0,1.0,4.0,Unitied Kingdom,Europe,100665.78947368421,N/A,4.0
Lewis Hamilton,1,1/7/1985,British,1985,30.0,1.0,3.0,3,3.0,6.0,44.0,20.0,2.0,4989933.0,01:48.1,233.175,1.0,Finished,2008,13.0,13.0,Belgian Grand Prix,2008-09-07,76.0,1.0,4.0,Unitied Kingdom,Belgium,113407.56818181818,N/A,4.0
Lewis Hamilton,1,1/7/1985,British,1985,31.0,15.0,7.0,7,7.0,2.0,53.0,52.0,5.0,5237406.0,01:29.7,232.44,1.0,Finished,2008,14.0,14.0,Italian Grand Prix,2008-09-14,78.0,1.0,4.0,Unitied Kingdom,Italy,98818.98113207547,N/A,4.0
Lewis Hamilton,1,1/7/1985,British,1985,32.0,2.0,3.0,3,3.0,6.0,61.0,14.0,4.0,7042221.0,01:46.1,171.969,1.0,Finished,2008,15.0,15.0,Singapore Grand Prix,2008-09-28,84.0,1.0,4.0,Unitied Kingdom,Singapore,115446.24590163934,N/A,4.0
Lewis Hamilton,1,1/7/1985,British,1985,33.0,1.0,12.0,12,12.0,0.0,67.0,65.0,11.0,5500792.0,01:19.6,206.47,1.0,Finished,2008,16.0,16.0,Japanese Grand Prix,2008-10-12,84.0,1.0,4.0,Unitied Kingdom,Japan,82101.37313432836,N/A,4.0
