,driverId,raceId,round,circuitId,year,date,races_name,quali_position,grid,results_position,positionText,positionOrder,results_points,results_laps,statusId,status,fastestLap,rank,race_ms,results_fastestlaptime,fastestLapSpeed,dstnd_points,dstnd_position,wins,dob_formatted,nationality
0,1,2.0,2.0,2.0,2009.0,2009-04-05,Malaysian Grand Prix,13,12.0,7,7,7.0,1,31.0,1.0,Finished,17,11,4312825,01:39.1,201.276,1,10,0.0,1985,British
1,1,13.0,13.0,14.0,2009.0,2009-09-13,Italian Grand Prix,1,1.0,12,12,12.0,0,52.0,3.0,Accident,52,3,,01:24.8,245.923,27,7,1.0,1985,British
51,1,14.0,14.0,15.0,2009.0,2009-09-27,Singapore Grand Prix,1,1.0,1,1,1.0,10,61.0,1.0,Finished,36,2,6966337,01:48.3,168.561,37,6,2.0,1985,British
112,1,17.0,17.0,24.0,2009.0,2009-11-01,Abu Dhabi Grand Prix,1,1.0,,R,19.0,0,20.0,23.0,Mechanical,16,3,,01:40.4,199.212,49,5,2.0,1985,British
129,1,337.0,1.0,3.0,2010.0,2010-03-14,Bahrain Grand Prix,4,4.0,3,3,3.0,15,49.0,1.0,Finished,42,4,5983578,01:59.6,189.665,15,3,0.0,1985,British
171,1,347.0,11.0,10.0,2010.0,2010-07-25,German Grand Prix,6,6.0,4,4,4.0,12,67.0,1.0,Finished,65,5,5285760,01:16.5,215.238,157,1,2.0,1985,British
238,1,355.0,19.0,24.0,2010.0,2010-11-14,Abu Dhabi Grand Prix,2,2.0,2,2,2.0,18,55.0,1.0,Finished,47,1,5986999,01:41.3,197.428,240,4,3.0,1985,British
279,1,876.0,17.0,68.0,2012.0,2012-10-28,Indian Grand Prix,3,3.0,4,4,4.0,12,60.0,1.0,Finished,58,5,5484653,01:28.9,207.433,165,5,3.0,1985,British
339,1,878.0,19.0,69.0,2012.0,2012-11-18,United States Grand Prix,2,2.0,1,1,1.0,25,56.0,1.0,Finished,55,5,5755269,01:39.7,199.047,190,4,4.0,1985,British
410,1,3.0,3.0,17.0,2009.0,2009-04-19,Chinese Grand Prix,9,9.0,6,6,6.0,3,56.0,1.0,Finished,39,12,7135351,01:54.7,171.138,4,10,0.0,1985,British
466,1,4.0,4.0,3.0,2009.0,2009-04-26,Bahrain Grand Prix,5,5.0,4,4,4.0,5,57.0,1.0,Finished,13,6,5530278,01:34.9,205.269,9,7,0.0,1985,British
515,1,880.0,1.0,1.0,2013.0,2013-03-17,Australian Grand Prix,3,3.0,5,5,5.0,10,58.0,1.0,Finished,45,5,5448786,01:29.8,212.689,10,5,0.0,1985,British
573,1,881.0,2.0,2.0,2013.0,2013-03-24,Malaysian Grand Prix,4,4.0,3,3,3.0,15,56.0,1.0,Finished,32,10,5948862,01:41.0,197.57,25,4,0.0,1985,British
587,1,882.0,3.0,17.0,2013.0,2013-04-14,Chinese Grand Prix,1,1.0,3,3,3.0,15,56.0,1.0,Finished,50,6,5799267,01:40.0,196.273,40,4,0.0,1985,British
643,1,883.0,4.0,3.0,2013.0,2013-04-21,Bahrain Grand Prix,4,9.0,5,5,5.0,10,57.0,1.0,Finished,48,11,5795728,01:38.2,198.395,50,3,0.0,1985,British
700,1,884.0,5.0,4.0,2013.0,2013-05-12,Spanish Grand Prix,2,2.0,12,12,12.0,0,65.0,11.0,+1 Lap,53,13,,01:27.9,190.659,50,4,0.0,1985,British
765,1,885.0,6.0,6.0,2013.0,2013-05-26,Monaco Grand Prix,2,2.0,4,4,4.0,12,78.0,1.0,Finished,76,3,8285950,01:18.1,153.891,62,4,0.0,1985,British
843,1,887.0,8.0,9.0,2013.0,2013-06-30,British Grand Prix,1,1.0,4,4,4.0,12,52.0,1.0,Finished,51,4,5587212,01:34.2,225.231,89,4,0.0,1985,British
909,1,5.0,5.0,4.0,2009.0,2009-05-10,Spanish Grand Prix,14,14.0,9,9,9.0,0,65.0,11.0,+1 Lap,29,9,,01:23.8,199.883,9,7,0.0,1985,British
974,1,6.0,6.0,6.0,2009.0,2009-05-24,Monaco Grand Prix,16,19.0,12,12,12.0,0,77.0,11.0,+1 Lap,65,8,,01:15.7,158.824,9,9,0.0,1985,British
1030,1,888.0,9.0,20.0,2013.0,2013-07-07,German Grand Prix,1,1.0,5,5,5.0,10,60.0,1.0,Finished,57,4,6101638,01:34.2,196.83,99,4,0.0,1985,British
1055,1,890.0,10.0,11.0,2013.0,2013-07-28,Hungarian Grand Prix,1,1.0,1,1,1.0,25,70.0,1.0,Finished,69,3,6149445,01:24.6,186.322,124,4,1.0,1985,British
1125,1,891.0,11.0,13.0,2013.0,2013-08-25,Belgian Grand Prix,1,1.0,3,3,3.0,15,44.0,1.0,Finished,39,7,5049930,01:51.6,225.943,139,3,1.0,1985,British
1145,1,892.0,12.0,14.0,2013.0,2013-09-08,Italian Grand Prix,12,12.0,9,9,9.0,2,53.0,1.0,Finished,51,1,4746879,01:25.8,242.924,141,3,1.0,1985,British
1198,1,893.0,13.0,15.0,2013.0,2013-09-22,Singapore Grand Prix,5,5.0,5,5,5.0,10,61.0,1.0,Finished,59,4,7206291,01:49.9,165.89,151,3,1.0,1985,British
1232,1,894.0,14.0,35.0,2013.0,2013-10-06,Korean Grand Prix,2,2.0,5,5,5.0,10,55.0,1.0,Finished,53,5,6218956,01:42.5,197.134,161,4,1.0,1985,British
1260,1,895.0,15.0,22.0,2013.0,2013-10-13,Japanese Grand Prix,3,3.0,,R,20.0,0,7.0,29.0,Mechanical,3,20,,01:41.2,206.569,161,4,1.0,1985,British
1267,1,896.0,16.0,68.0,2013.0,2013-10-27,Indian Grand Prix,3,3.0,6,6,6.0,8,60.0,1.0,Finished,53,15,5524662,01:29.1,207.182,169,4,1.0,1985,British
1327,1,897.0,17.0,24.0,2013.0,2013-11-03,Abu Dhabi Grand Prix,4,4.0,7,7,7.0,6,55.0,1.0,Finished,47,10,5965373,01:45.5,189.586,175,4,1.0,1985,British
1367,1,899.0,19.0,18.0,2013.0,2013-11-24,Brazilian Grand Prix,5,5.0,9,9,9.0,2,71.0,1.0,Finished,51,10,5629203,01:16.7,202.268,189,4,1.0,1985,British
1429,1,900.0,1.0,1.0,2014.0,2014-03-16,Australian Grand Prix,1,1.0,,R,19.0,0,2.0,5.0,Mechanical,2,20,,01:49.9,173.636,0,19,0.0,1985,British
1431,1,901.0,2.0,2.0,2014.0,2014-03-30,Malaysian Grand Prix,1,1.0,1,1,1.0,25,56.0,1.0,Finished,53,1,6025974,01:43.1,193.611,25,2,1.0,1985,British
