,driverId,raceId,points,position,wins
0,1,18,10.0,1,1
1,2,18,8.0,2,0
2,3,18,6.0,3,0
3,4,18,5.0,4,0
4,5,18,4.0,5,0
5,6,18,3.0,6,0
6,7,18,2.0,7,0
7,8,18,1.0,8,0
8,1,19,14.0,1,1
9,2,19,11.0,3,0
10,3,19,6.0,6,0
11,4,19,6.0,7,0
12,5,19,10.0,4,0
13,6,19,3.0,9,0
14,7,19,2.0,10,0
15,8,19,11.0,2,1
16,9,19,8.0,5,0
17,15,19,5.0,8,0
18,17,19,2.0,11,0
19,14,19,0.0,12,0
20,18,19,0.0,13,0
21,12,19,0.0,14,0
22,21,19,0.0,15,0
23,22,19,0.0,16,0
24,19,19,0.0,17,0
25,11,19,0.0,18,0
26,1,20,14.0,3,1
27,2,20,16.0,2,0
28,3,20,7.0,8,0
29,4,20,6.0,9,0
30,5,20,14.0,5,0
31,6,20,3.0,11,0
32,7,20,2.0,12,0
33,8,20,19.0,1,1
34,9,20,14.0,4,0
35,15,20,8.0,7,0
36,17,20,4.0,10,0
37,14,20,0.0,13,0
38,18,20,0.0,15,0
39,12,20,0.0,17,0
40,21,20,0.0,18,0
41,22,20,0.0,16,0
42,19,20,0.0,19,0
43,11,20,0.0,20,0
44,13,20,10.0,6,1
45,10,20,0.0,14,0
46,16,20,0.0,21,0
47,1,21,20.0,2,1
48,2,21,16.0,5,0
49,3,21,7.0,9,0
50,4,21,6.0,10,0
51,5,21,14.0,6,0
52,6,21,5.0,11,0
53,7,21,2.0,13,0
54,8,21,29.0,1,2
55,9,21,19.0,3,0
56,15,21,9.0,7,0
57,17,21,8.0,8,0
58,14,21,0.0,15,0
59,18,21,3.0,12,0
60,12,21,0.0,18,0
61,21,21,0.0,16,0
62,22,21,0.0,17,0
63,19,21,0.0,20,0
64,11,21,0.0,19,0
65,13,21,18.0,4,1
66,10,21,0.0,14,0
67,16,21,0.0,21,0
68,1,22,28.0,3,1
69,2,22,20.0,5,0
70,3,22,8.0,10,0
71,4,22,9.0,8,0
72,5,22,14.0,6,0
73,6,22,5.0,11,0
74,7,22,2.0,13,0
75,8,22,35.0,1,2
76,9,22,24.0,4,0
77,15,22,9.0,9,0
78,17,22,10.0,7,0
79,14,22,0.0,14,0
80,18,22,3.0,12,0
81,12,22,0.0,18,0
82,21,22,0.0,16,0
83,22,22,0.0,17,0
84,19,22,0.0,20,0
85,11,22,0.0,19,0
86,13,22,28.0,2,2
87,10,22,0.0,15,0
88,16,22,0.0,21,0
89,20,22,0.0,22,0
90,1,23,38.0,1,2
91,2,23,20.0,5,0
92,3,23,8.0,10,0
93,4,23,9.0,8,0
94,5,23,15.0,6,0
95,6,23,7.0,11,0
96,7,23,2.0,15,0
97,8,23,35.0,2,2
98,9,23,32.0,4,0
99,15,23,9.0,9,0
100,17,23,15.0,7,0
101,14,23,0.0,16,0
102,18,23,3.0,13,0
103,12,23,0.0,19,0
104,21,23,0.0,18,0
105,22,23,3.0,14,0
106,19,23,0.0,21,0
107,11,23,0.0,20,0
108,13,23,34.0,3,2
109,10,23,0.0,17,0
110,16,23,0.0,22,0
111,20,23,4.0,12,0
112,1,24,38.0,2,2
113,2,24,28.0,5,0
114,3,24,8.0,10,0
115,4,24,9.0,9,0
116,5,24,15.0,6,0
117,6,24,7.0,11,0
118,7,24,2.0,17,0
119,8,24,35.0,4,2
120,9,24,42.0,1,1
121,15,24,12.0,8,0
122,17,24,15.0,7,0
123,14,24,6.0,12,0
124,18,24,3.0,16,0
125,12,24,0.0,19,0
126,21,24,0.0,18,0
127,22,24,5.0,15,0
128,19,24,0.0,21,0
129,11,24,0.0,20,0
130,13,24,38.0,3,2
131,10,24,5.0,13,0
132,16,24,0.0,22,0
133,20,24,5.0,14,0
134,1,25,38.0,4,2
135,2,25,28.0,5,0
136,3,25,8.0,10,0
137,4,25,10.0,9,0
138,5,25,20.0,6,0
139,6,25,7.0,11,0
140,7,25,2.0,18,0
141,8,25,43.0,3,2
142,9,25,46.0,2,1
143,15,25,18.0,7,0
144,17,25,18.0,8,0
145,14,25,6.0,12,0
146,18,25,3.0,16,0
147,12,25,2.0,17,0
148,21,25,0.0,19,0
149,22,25,5.0,15,0
150,19,25,0.0,21,0
151,11,25,0.0,20,0
152,13,25,48.0,1,3
153,10,25,5.0,13,0
154,16,25,0.0,22,0
155,20,25,5.0,14,0
156,1,26,48.0,1,3
157,2,26,36.0,5,0
158,3,26,8.0,11,0
159,4,26,13.0,9,0
160,5,26,24.0,6,0
161,6,26,8.0,12,0
162,7,26,2.0,17,0
163,8,26,48.0,3,2
164,9,26,46.0,4,1
165,15,26,20.0,7,0
166,17,26,18.0,8,0
167,14,26,6.0,13,0
168,18,26,3.0,16,0
169,12,26,2.0,18,0
170,21,26,0.0,19,0
171,22,26,11.0,10,0
172,19,26,0.0,21,0
173,11,26,0.0,20,0
174,13,26,48.0,2,3
175,10,26,5.0,14,0
176,16,26,0.0,22,0
177,20,26,5.0,15,0
178,1,27,58.0,1,4
