,driverId,raceId,grid,position,positionText,positionOrder,points,laps,fastestLap,rank,race_ms,fastestLapTime,fastestLapSpeed,statusId
0,1,18,1,1,1,1,10.0,58,39,2,5690616,1:27.452,218.300,1
1,2,18,5,2,2,2,8.0,58,41,3,5696094,1:27.739,217.586,1
2,3,18,7,3,3,3,6.0,58,41,5,5698779,1:28.090,216.719,1
3,4,18,11,4,4,4,5.0,58,58,7,5707797,1:28.603,215.464,1
4,5,18,3,5,5,5,4.0,58,43,1,5708630,1:27.418,218.385,1
5,6,18,13,6,6,6,3.0,57,50,14,\N,1:29.639,212.974,11
6,7,18,17,7,7,7,2.0,55,22,12,\N,1:29.534,213.224,5
7,8,18,15,8,8,8,1.0,53,20,4,\N,1:27.903,217.180,5
8,9,18,2,\N,R,9,0.0,47,15,9,\N,1:28.753,215.100,4
9,10,18,18,\N,R,10,0.0,43,23,13,\N,1:29.558,213.166,3
10,11,18,19,\N,R,11,0.0,32,24,15,\N,1:30.892,210.038,7
11,12,18,20,\N,R,12,0.0,30,20,16,\N,1:31.384,208.907,8
12,13,18,4,\N,R,13,0.0,29,23,6,\N,1:28.175,216.510,5
13,14,18,8,\N,R,14,0.0,25,21,11,\N,1:29.502,213.300,4
14,15,18,6,\N,R,15,0.0,19,18,10,\N,1:29.310,213.758,10
15,16,18,22,\N,R,16,0.0,8,8,17,\N,1:32.021,207.461,9
16,17,18,14,\N,R,17,0.0,0,\N,\N,\N,\N,\N,4
17,18,18,12,\N,R,18,0.0,0,\N,\N,\N,\N,\N,4
18,19,18,21,\N,R,19,0.0,0,\N,\N,\N,\N,\N,4
19,20,18,9,\N,R,20,0.0,0,\N,\N,\N,\N,\N,4
20,21,18,16,\N,R,21,0.0,0,\N,\N,\N,\N,\N,4
21,22,18,10,\N,D,22,0.0,58,44,8,\N,1:28.736,215.141,2
22,8,19,2,1,1,1,10.0,56,37,2,5478555,1:35.405,209.158,1
23,9,19,4,2,2,2,8.0,56,39,6,5498125,1:35.921,208.033,1
24,5,19,8,3,3,3,6.0,56,19,7,5517005,1:35.922,208.031,1
25,15,19,3,4,4,4,5.0,56,53,8,5524387,1:36.068,207.715,1
26,1,19,9,5,5,5,4.0,56,53,3,5525103,1:35.462,209.033,1
27,2,19,5,6,6,6,3.0,56,55,1,5528388,1:35.366,209.244,1
28,17,19,6,7,7,7,2.0,56,53,12,5546685,1:36.696,206.366,1
29,4,19,7,8,8,8,1.0,56,40,10,5548596,1:36.288,207.240,1
30,14,19,12,9,9,9,0.0,56,55,9,5554775,1:36.206,207.417,1
31,18,19,11,10,10,10,0.0,56,56,4,5564769,1:35.715,208.481,1
32,12,19,13,11,11,11,0.0,56,52,15,5570757,1:36.956,205.812,1
33,21,19,17,12,12,12,0.0,55,52,16,\N,1:36.962,205.800,11
34,22,19,14,13,13,13,0.0,55,55,11,\N,1:36.693,206.372,11
35,3,19,16,14,14,14,0.0,55,55,13,\N,1:36.782,206.182,11
36,19,19,21,15,15,15,0.0,55,55,18,\N,1:38.171,203.265,11
37,11,19,19,16,16,16,0.0,54,53,19,\N,1:38.504,202.578,12
38,6,19,22,17,17,17,0.0,54,19,17,\N,1:37.711,204.222,12
39,20,19,15,\N,R,18,0.0,39,37,14,\N,1:36.870,205.995,5
