,driverId,raceId,grid,position,points,quali_ms,fastestLap,fastestLapTime,statusId
0,830,1061,2,1,3,1538426,14,1:30.013,1
1,1,1061,1,2,2,1539856,17,1:29.937,1
2,822,1061,3,3,1,1545928,17,1:29.958,1
3,844,1061,4,4,0,1549704,16,1:30.163,1
4,846,1061,6,5,0,1562537,16,1:30.566,1
5,817,1061,7,6,0,1569385,17,1:30.640,1
6,4,1061,11,7,0,1581953,17,1:31.773,1
7,20,1061,10,8,0,1582865,17,1:31.687,1
8,847,1061,8,9,0,1585078,17,1:32.208,1
9,839,1061,13,10,0,1585821,16,1:32.183,1
10,832,1061,9,11,0,1586224,10,1:31.991,1
11,842,1061,12,12,0,1587189,17,1:32.072,1
12,8,1061,17,13,0,1589103,12,1:32.139,1
13,840,1061,15,14,0,1590605,12,1:32.210,1
14,841,1061,14,15,0,1591651,14,1:32.457,1
15,852,1061,16,16,0,1591993,14,1:32.270,1
16,849,1061,18,17,0,1593588,17,1:32.143,1
17,854,1061,19,18,0,1606639,15,1:32.567,1
18,853,1061,20,19,0,1616074,3,1:33.462,1
19,815,1061,5,\N,0,\N,6,1:31.465,76
20,822,1065,1,1,3,1674078,9,1:23.540,1
21,830,1065,3,2,2,1676403,9,1:23.502,1
22,817,1065,5,3,1,1688612,17,1:24.291,1
23,846,1065,4,4,0,1692913,9,1:24.554,1
24,1,1065,2,5,0,1694089,9,1:24.253,1
25,844,1065,8,6,0,1697520,18,1:24.677,1
26,832,1065,7,7,0,1702030,8,1:24.918,1
27,841,1065,10,8,0,1705167,10,1:25.126,1
28,815,1065,9,9,0,1705758,12,1:24.211,1
29,840,1065,12,10,0,1712749,8,1:25.349,1
30,4,1065,13,11,0,1713873,8,1:25.225,1
31,20,1065,11,12,0,1715255,8,1:25.493,1
32,839,1065,14,13,0,1717451,8,1:25.613,1
33,849,1065,16,14,0,1720055,9,1:25.711,1
34,847,1065,15,15,0,1720899,15,1:25.835,1
35,852,1065,17,16,0,1724055,18,1:25.847,1
36,853,1065,20,17,0,1736677,7,1:26.613,1
37,9,1065,19,18,0,1739174,12,1:26.772,1
38,854,1065,18,19,0,1740232,7,1:26.819,1
39,842,1065,6,\N,0,\N,\N,\N,3
40,822,1071,2,1,3,1749559,8,1:12.300,1
41,830,1071,1,2,2,1750729,9,1:12.114,1
42,832,1071,5,3,1,1768282,13,1:13.167,1
43,815,1071,3,4,0,1769346,13,1:13.110,1
44,1,1071,20,5,0,1770431,5,1:12.357,1
45,846,1071,7,6,0,1772117,8,1:12.994,1
46,844,1071,6,7,0,1774615,4,1:13.140,1
47,842,1071,4,8,0,1783717,4,1:13.342,1
48,839,1071,10,9,0,1784191,11,1:13.615,1
49,20,1071,11,10,0,1784426,5,1:13.558,1
50,817,1071,8,11,0,1785428,9,1:13.463,1
51,4,1071,9,12,0,1786137,4,1:13.397,1
52,841,1071,14,13,0,1791439,11,1:13.627,1
