driverId,dob,nationality
1,1985-01-07,British
2,1977-05-10,German
3,1985-06-27,German
4,1981-07-29,Spanish
5,1981-10-19,Other
6,1985-01-11,Japanese
7,1979-02-28,French
8,1979-10-17,Other
9,1984-12-07,Other
10,1982-03-18,German
11,1977-01-28,Japanese
12,1985-07-25,Brazilian
13,1981-04-25,Brazilian
14,1971-03-27,British
15,1974-07-13,Italian
16,1983-01-11,German
17,1976-08-27,Australian
18,1980-01-19,British
19,1979-04-18,British
20,1987-07-03,German
21,1973-01-14,Italian
22,1972-05-23,Brazilian
23,1975-06-30,German
24,1980-08-06,Italian
25,1974-02-15,Austrian
26,1983-01-24,American
27,1979-04-16,Dutch
28,1980-06-13,German
29,1982-07-09,Japanese
30,1969-01-03,German
31,1975-09-20,Other
32,1983-02-07,Austrian
33,1976-07-24,Other
34,1975-01-21,Japanese
35,1971-04-09,Canadian
36,1978-01-05,French
37,1971-02-24,Spanish
38,1981-09-23,Dutch
39,1977-01-14,Other
40,1980-09-26,Austrian
41,1976-03-23,Brazilian
42,1980-09-11,Brazilian
43,1973-09-19,Brazilian
44,1966-09-02,French
45,1979-02-04,Italian
46,1981-05-30,Italian
47,1981-01-01,Other
48,1974-03-29,Spanish
49,1967-05-18,German
50,1972-03-04,Dutch
51,1978-07-31,British
52,1975-05-20,Other
53,1978-03-03,Other
54,1975-03-05,Brazilian
55,1964-06-11,French
56,1965-11-10,British
57,1968-09-28,Other
58,1976-01-19,Brazilian
59,1978-10-19,Brazilian
60,1975-05-08,Argentine
61,1976-09-11,Other
62,1976-07-20,Other
63,1966-11-30,Other
64,1970-05-22,Brazilian
65,1964-06-25,British
66,1969-12-29,British
67,1988-10-31,Swiss
68,1974-02-12,Japanese
69,1971-01-25,Italian
70,1966-10-23,Italian
71,1960-09-17,British
72,1975-11-02,French
73,1968-07-27,Brazilian
74,1978-04-22,Argentine
75,1971-04-01,Japanese
76,1973-07-04,Other
77,1959-08-27,Austrian
78,1964-03-19,Italian
79,1963-05-29,Japanese
80,1966-10-07,Italian
81,1968-01-13,Italian
82,1975-01-20,Argentine
83,1972-03-20,Other
84,1959-06-01,British
85,1964-05-30,Italian
86,1958-02-18,Italian
87,1966-04-08,British
88,1960-09-08,Japanese
89,1963-09-05,Japanese
90,1959-02-11,Brazilian
91,1968-12-20,Austrian
92,1962-12-23,Belgian
93,1967-11-17,Italian
94,1961-04-23,Italian
95,1953-08-08,British
96,1969-12-27,French
97,1969-10-03,Italian
98,1963-10-01,Swiss
99,1962-03-02,Italian
100,1963-09-28,French
101,1965-09-05,Australian
102,1960-03-21,Brazilian
103,1964-08-24,French
104,1971-01-18,Brazilian
105,1956-12-23,Italian
106,1969-11-23,Other
107,1960-07-04,Austrian
108,1963-04-23,French
109,1966-01-31,Other
110,1959-05-31,Italian
111,1963-01-01,French
112,1954-07-27,French
113,1969-11-19,Belgian
114,1961-07-28,French
115,1969-03-07,Japanese
116,1968-09-01,French
117,1955-02-24,French
118,1954-08-27,British
119,1954-04-17,Italian
120,1963-04-02,Italian
121,1962-10-05,American
122,1963-05-24,Italian
123,1957-07-13,Belgian
124,1965-10-07,Italian
125,1968-02-24,Italian
126,1955-03-10,Japanese
127,1963-04-20,Brazilian
128,1961-09-30,Belgian
129,1958-09-02,French
130,1964-05-06,Swiss
131,1963-05-12,Italian
132,1959-07-20,Italian
133,1964-03-18,Italian
134,1964-09-19,Italian
135,1961-03-03,British
136,1956-06-02,Dutch
137,1952-08-17,Brazilian
138,1953-02-23,Japanese
139,1962-01-12,Italian
140,1956-09-08,Swedish
141,1961-10-09,British
142,1965-02-27,Other
143,1968-03-08,German
144,1966-06-13,Japanese
145,1959-07-07,Italian
146,1964-07-20,German
147,1961-04-20,Italian
148,1965-03-27,Swiss
149,1960-07-20,Italian
150,1961-03-29,Australian
151,1964-03-26,British
152,1952-09-10,Italian
153,1990-03-23,Spanish
154,1986-04-17,French
155,1986-09-13,Japanese
156,1956-11-07,British
157,1958-04-04,German
158,1958-01-10,American
159,1959-05-15,Spanish
160,1952-01-16,Italian
161,1962-03-18,German
162,1961-05-27,French
163,1948-07-04,French
164,1960-10-24,German
165,1954-08-19,Argentine
166,1955-06-26,French
167,1960-06-17,Spanish
168,1948-09-12,French
169,1960-01-09,French
170,1955-03-09,Italian
171,1958-09-22,Swiss
172,1943-11-21,French
173,1958-03-26,Italian
174,1958-04-26,British
175,1949-06-25,French
176,1951-09-18,Swiss
177,1948-12-06,Other
178,1946-11-02,Australian
179,1954-10-08,Dutch
180,1961-08-01,Canadian
181,1951-10-06,German
182,1949-02-22,Austrian
183,1956-12-30,French
184,1954-01-31,Italian
185,1957-11-20,German
186,1957-11-27,British
187,1946-05-04,British
188,1956-01-25,Other
189,1954-01-24,Austrian
190,1961-04-12,Italian
191,1961-03-30,Other
192,1957-02-03,Brazilian
193,1950-03-09,American
194,1954-11-14,Other
195,1958-11-16,Other
196,1957-12-04,Brazilian
197,1946-07-10,French
198,1953-11-04,Canadian
199,1942-04-12,Argentine
200,1946-09-30,German
201,1946-11-25,Swedish
202,1952-03-26,French
203,1950-01-18,Canadian
204,1958-06-15,Italian
205,1946-09-19,British
206,1953-03-11,Other
207,1940-02-28,American
208,1946-07-26,Spanish
209,1951-05-01,British
210,1958-05-06,Other
211,1955-02-26,British
212,1956-02-05,Other
213,1957-01-02,Italian
214,1956-03-31,American
215,1953-08-31,Argentine
216,1952-10-10,Italian
217,1949-04-13,Argentine
218,1949-08-08,Other
219,1942-10-01,French
220,1947-11-08,Italian
221,1944-08-09,French
222,1950-01-29,South African
223,1939-09-05,Swiss
224,1946-12-12,Brazilian
225,1953-01-15,Other
226,1952-02-19,British
227,1951-10-29,British
228,1953-11-26,South African
229,1948-08-31,Austrian
230,1937-11-11,Italian
231,1947-08-29,British
232,1943-03-11,Italian
233,1951-01-01,German
234,1950-01-18,Italian
235,1945-01-01,Belgian
236,1952-02-12,French
237,1948-11-07,Brazilian
238,1944-02-14,Swedish
239,1945-11-14,American
240,1942-05-21,American
241,1953-05-24,Italian
242,1944-08-13,British
243,1943-07-11,German
244,1946-02-23,Italian
245,1943-01-24,British
246,1948-06-12,Austrian
247,1949-10-02,Dutch
248,1938-01-01,Italian
249,1953-01-10,American
250,1944-10-06,Brazilian
251,1947-08-22,South African
252,1949-06-11,British
253,1953-02-28,Brazilian
254,1946-12-12,Italian
255,1948-11-20,Swedish
256,1950-03-18,Australian
257,1949-05-03,Dutch
258,1949-10-13,Belgian
259,1945-01-26,British
260,1939-12-28,Swedish
261,1952-09-19,Belgian
262,1942-08-14,British
263,1948-05-17,Other
264,1947-05-09,British
265,1942-12-30,British
266,1945-12-13,Australian
267,1943-03-19,Australian
268,1943-03-16,German
269,1942-07-26,Belgian
270,1947-10-26,British
271,1950-04-01,Swiss
272,1940-01-29,Japanese
273,1947-07-01,Japanese
274,1951-06-06,Japanese
275,1941-03-26,Italian
276,1947-06-11,British
277,1946-03-18,French
278,1943-07-20,Other
279,1944-05-27,Spanish
280,1942-09-25,French
281,1944-04-19,Other
282,1945-11-17,British
283,1946-01-07,British
284,1942-08-31,Italian
285,1947-03-03,Austrian
286,1949-12-24,Australian
287,1945-11-13,Japanese
288,1937-03-18,American
289,1929-02-15,British
290,1943-12-25,Brazilian
291,1948-12-01,South African
292,1944-09-12,South African
293,1936-10-27,South African
294,1952-03-28,British
295,1948-12-12,Dutch
296,1944-12-04,French
297,1947-07-23,Swedish
298,1942-03-16,Dutch
299,1946-03-10,Japanese
300,1941-10-06,Other
301,1944-08-07,British
302,1948-02-13,British
303,1942-05-31,Swiss
304,1936-06-18,Other
305,1940-04-02,British
306,1937-04-26,French
307,1941-12-24,Other
308,1944-09-22,British
309,1939-02-27,American
310,1934-05-13,South African
311,1942-08-27,Other
312,1937-03-09,British
313,1947-10-14,Other
314,1943-09-26,Australian
315,1940-05-23,French
316,1943-08-05,Other
317,1941-09-30,Swedish
318,1943-10-12,Swedish
319,1944-04-26,French
320,1940-02-21,British
321,1941-10-31,British
322,1939-06-09,British
323,1939-05-30,Austrian
324,1948-11-03,Austrian
325,1935-06-26,Italian
326,1938-05-28,Canadian
327,1944-02-25,French
328,1939-06-11,British
329,1940-04-13,British
330,1940-10-02,Italian
331,1937-01-16,Brazilian
332,1934-01-27,American
333,1941-10-03,Italian
334,1934-11-22,South African
335,1948-02-02,British
336,1940-03-05,Other
337,1943-04-27,Austrian
338,1941-06-10,Australian
339,1932-10-29,Spanish
340,1924-12-07,Other
341,1934-02-11,British
342,1936-11-16,American
343,1935-12-26,Canadian
344,1944-05-26,American
345,1940-01-18,Other
346,1936-07-07,Swiss
347,1930-01-31,Swedish
348,1943-02-24,French
349,1943-07-27,French
350,1935-06-10,British
351,1941-04-24,Swiss
352,1945-11-12,Canadian
353,1926-04-11,American
354,1939-11-17,British
355,1933-06-21,Canadian
356,1926-04-02,Australian
357,1943-06-14,British
358,1942-04-18,Austrian
359,1942-01-18,French
360,1937-08-30,Other
361,1942-05-27,British
362,1935-03-16,South African
363,1941-08-30,Italian
364,1931-04-13,American
365,1935-03-28,German
366,1937-04-26,American
367,1938-05-26,British
368,1921-08-24,Other
369,1939-04-19,South African
370,1940-04-04,British
371,1921-10-15,Canadian
372,1935-07-23,Canadian
373,1936-03-04,British
374,1936-12-30,British
375,1933-10-18,Italian
376,1934-11-10,Belgian
377,1928-05-18,French
378,1942-05-27,British
379,1940-04-19,German
380,1930-10-01,Australian
381,1934-02-20,American
382,1935-12-26,Other
383,1931-05-19,British
384,1930-01-16,South African
385,1935-12-21,Italian
386,1930-08-05,American
387,1931-09-24,British
388,1942-06-27,British
389,1930-07-12,French
390,1938-01-12,British
391,1936-09-07,British
392,1943-03-13,American
393,1943-04-26,American
394,1934-12-25,Italian
395,1942-10-26,British
396,1933-04-27,American
397,1933-11-08,British
398,1931-04-14,British
399,1933-03-23,British
400,1933-07-27,British
401,1936-12-26,British
402,1937-10-23,Italian
403,1927-04-20,American
404,1930-06-12,British
405,1936-04-05,American
406,1937-10-12,Australian
407,1937-10-09,British
408,1937-02-09,South African
409,1935-11-30,South African
410,1938-09-25,South African
411,1920-12-09,South African
412,1939-01-07,South African
413,1938-07-04,South African
414,1941-07-11,Other
415,1932-04-30,South African
416,1931-05-18,South African
417,1932-11-30,South African
418,1932-02-29,American
419,1927-08-18,British
420,1921-09-22,British
421,1943-05-15,British
422,1934-04-17,British
423,1935-08-30,German
424,1927-10-04,Italian
425,1933-03-04,Italian
426,1934-01-20,Italian
427,1917-10-30,French
428,1930-10-07,French
429,1918-10-06,Belgian
430,1934-04-10,Dutch
431,1917-01-26,German
432,1934-01-15,Other
433,1919-10-28,American
434,1928-01-01,American
435,1928-10-01,Belgian
436,1930-01-21,British
437,1930-07-06,British
438,1926-07-10,American
439,1932-11-18,Argentine
440,1935-07-23,American
441,1932-06-25,British
442,1910-04-30,German
443,1934-01-31,Italian
444,1926-10-17,Italian
445,1937-10-18,German
