driverId,raceId,points,position,wins
1,18,10.0,1,1
2,18,8.0,2,0
3,18,6.0,3,0
4,18,5.0,4,0
5,18,4.0,5,0
6,18,3.0,6,0
7,18,2.0,7,0
8,18,1.0,8,0
1,19,14.0,1,1
2,19,11.0,3,0
3,19,6.0,6,0
4,19,6.0,7,0
5,19,10.0,4,0
6,19,3.0,9,0
7,19,2.0,10,0
8,19,11.0,2,1
9,19,8.0,5,0
15,19,5.0,8,0
17,19,2.0,11,0
14,19,0.0,12,0
18,19,0.0,13,0
12,19,0.0,14,0
21,19,0.0,15,0
22,19,0.0,16,0
19,19,0.0,17,0
11,19,0.0,18,0
1,20,14.0,3,1
2,20,16.0,2,0
3,20,7.0,8,0
4,20,6.0,9,0
5,20,14.0,5,0
6,20,3.0,11,0
7,20,2.0,12,0
8,20,19.0,1,1
9,20,14.0,4,0
15,20,8.0,7,0
17,20,4.0,10,0
14,20,0.0,13,0
18,20,0.0,15,0
12,20,0.0,17,0
21,20,0.0,18,0
22,20,0.0,16,0
19,20,0.0,19,0
11,20,0.0,20,0
13,20,10.0,6,1
10,20,0.0,14,0
16,20,0.0,21,0
1,21,20.0,2,1
2,21,16.0,5,0
3,21,7.0,9,0
4,21,6.0,10,0
5,21,14.0,6,0
6,21,5.0,11,0
7,21,2.0,13,0
8,21,29.0,1,2
9,21,19.0,3,0
15,21,9.0,7,0
17,21,8.0,8,0
14,21,0.0,15,0
18,21,3.0,12,0
12,21,0.0,18,0
21,21,0.0,16,0
22,21,0.0,17,0
19,21,0.0,20,0
11,21,0.0,19,0
13,21,18.0,4,1
10,21,0.0,14,0
16,21,0.0,21,0
1,22,28.0,3,1
2,22,20.0,5,0
3,22,8.0,10,0
4,22,9.0,8,0
5,22,14.0,6,0
6,22,5.0,11,0
7,22,2.0,13,0
8,22,35.0,1,2
9,22,24.0,4,0
15,22,9.0,9,0
17,22,10.0,7,0
14,22,0.0,14,0
18,22,3.0,12,0
12,22,0.0,18,0
21,22,0.0,16,0
22,22,0.0,17,0
19,22,0.0,20,0
11,22,0.0,19,0
13,22,28.0,2,2
10,22,0.0,15,0
16,22,0.0,21,0
20,22,0.0,22,0
1,23,38.0,1,2
2,23,20.0,5,0
3,23,8.0,10,0
4,23,9.0,8,0
5,23,15.0,6,0
6,23,7.0,11,0
7,23,2.0,15,0
8,23,35.0,2,2
9,23,32.0,4,0
15,23,9.0,9,0
17,23,15.0,7,0
14,23,0.0,16,0
18,23,3.0,13,0
12,23,0.0,19,0
21,23,0.0,18,0
22,23,3.0,14,0
19,23,0.0,21,0
11,23,0.0,20,0
13,23,34.0,3,2
10,23,0.0,17,0
16,23,0.0,22,0
20,23,4.0,12,0
1,24,38.0,2,2
2,24,28.0,5,0
3,24,8.0,10,0
4,24,9.0,9,0
5,24,15.0,6,0
6,24,7.0,11,0
7,24,2.0,17,0
8,24,35.0,4,2
9,24,42.0,1,1
15,24,12.0,8,0
17,24,15.0,7,0
14,24,6.0,12,0
18,24,3.0,16,0
12,24,0.0,19,0
21,24,0.0,18,0
22,24,5.0,15,0
19,24,0.0,21,0
11,24,0.0,20,0
13,24,38.0,3,2
10,24,5.0,13,0
16,24,0.0,22,0
20,24,5.0,14,0
1,25,38.0,4,2
2,25,28.0,5,0
3,25,8.0,10,0
4,25,10.0,9,0
5,25,20.0,6,0
6,25,7.0,11,0
7,25,2.0,18,0
8,25,43.0,3,2
9,25,46.0,2,1
15,25,18.0,7,0
17,25,18.0,8,0
14,25,6.0,12,0
18,25,3.0,16,0
12,25,2.0,17,0
21,25,0.0,19,0
22,25,5.0,15,0
19,25,0.0,21,0
11,25,0.0,20,0
13,25,48.0,1,3
10,25,5.0,13,0
16,25,0.0,22,0
20,25,5.0,14,0
1,26,48.0,1,3
2,26,36.0,5,0
3,26,8.0,11,0
4,26,13.0,9,0
5,26,24.0,6,0
6,26,8.0,12,0
7,26,2.0,17,0
8,26,48.0,3,2
9,26,46.0,4,1
15,26,20.0,7,0
17,26,18.0,8,0
14,26,6.0,13,0
18,26,3.0,16,0
12,26,2.0,18,0
21,26,0.0,19,0
22,26,11.0,10,0
19,26,0.0,21,0
11,26,0.0,20,0
13,26,48.0,2,3
10,26,5.0,14,0
16,26,0.0,22,0
20,26,5.0,15,0
1,27,58.0,1,4
2,27,41.0,5,0
3,27,8.0,12,0
4,27,13.0,9,0
5,27,28.0,6,0
6,27,8.0,13,0
7,27,2.0,18,0
8,27,51.0,3,2
9,27,48.0,4,1
15,27,20.0,7,0
17,27,18.0,8,0
14,27,6.0,14,0
18,27,3.0,17,0
12,27,10.0,11,0
21,27,0.0,19,0
22,27,11.0,10,0
19,27,0.0,22,0
11,27,0.0,20,0
13,27,54.0,2,3
10,27,5.0,16,0
16,27,0.0,21,0
20,27,6.0,15,0
1,28,62.0,1,4
2,28,41.0,5,0
3,28,8.0,13,0
4,28,18.0,8,0
5,28,38.0,6,1
6,28,8.0,14,0
7,28,2.0,18,0
8,28,57.0,2,2
9,28,49.0,4,1
15,28,22.0,7,0
17,28,18.0,9,0
14,28,6.0,15,0
18,28,3.0,17,0
12,28,13.0,11,0
21,28,0.0,19,0
22,28,11.0,12,0
