driverId,raceId,lap,milliseconds
153,841,1,26898
30,841,1,25021
17,841,11,23426
4,841,12,23251
13,841,13,23842
22,841,13,23643
20,841,14,22603
814,841,14,24863
816,841,14,25259
67,841,15,25342
2,841,15,22994
1,841,16,23227
808,841,16,24535
3,841,16,23716
155,841,16,24064
16,841,16,25978
15,841,16,24899
18,841,17,16867
153,841,17,24463
5,841,17,24865
30,841,17,23988
10,841,18,23792
18,841,19,23303
815,841,23,23438
22,841,23,37856
17,841,26,22520
4,841,27,24733
22,841,28,16892
67,841,29,23100
2,841,30,25098
13,841,31,24500
155,841,32,24192
20,841,36,24036
1,841,36,23199
153,841,35,26348
808,841,36,25683
814,841,36,24332
18,841,37,22681
16,841,37,23871
15,841,37,24848
816,841,38,26446
17,841,41,26230
22,841,40,26309
4,841,42,24181
13,841,48,24095
16,842,3,31694
22,842,3,32978
17,842,10,22572
814,842,11,22773
1,842,12,22552
20,842,13,23019
2,842,13,23900
18,842,13,22400
13,842,13,29224
15,842,13,25516
4,842,14,23152
30,842,14,22576
808,842,15,23182
67,842,15,23280
3,842,15,24967
5,842,15,29084
153,842,16,23584
16,842,16,22046
155,842,17,23280
815,842,17,23597
10,842,17,24617
816,842,17,26252
24,842,17,27815
22,842,17,24502
67,842,20,29843
17,842,22,21991
18,842,23,22471
1,842,24,22611
814,842,24,22419
20,842,25,21893
4,842,26,23894
2,842,26,23221
13,842,27,22541
808,842,27,22680
30,842,28,22261
3,842,29,22577
17,842,32,22069
153,842,32,22888
16,842,32,22550
67,842,32,27439
5,842,34,23336
10,842,34,24429
816,842,35,24416
155,842,36,23442
1,842,37,25382
814,842,37,23977
18,842,38,22483
13,842,38,22893
2,842,39,22602
24,842,38,26554
3,842,40,22526
20,842,41,22313
4,842,41,23812
30,842,42,22227
17,842,43,22161
808,842,44,28694
4,842,46,27182
24,842,44,38823
1,842,52,22466
153,843,9,22419
24,843,9,14160
30,843,10,20522
17,843,10,23442
813,843,10,23160
814,843,11,21989
3,843,12,20771
67,843,12,22010
18,843,14,23779
20,843,14,21995
155,843,14,21855
13,843,15,21624
1,843,15,20878
16,843,15,20989
4,843,16,22524
815,843,16,21473
22,843,16,21709
67,843,16,24722
10,843,16,22683
808,843,17,21981
2,843,18,22216
5,843,19,22485
15,843,20,23029
816,843,20,22901
24,843,21,24467
39,843,23,26049
18,843,24,20758
3,843,25,22005
1,843,25,20533
17,843,25,21132
813,843,25,22062
30,843,26,21964
10,843,28,21908
16,843,30,21058
155,843,30,21936
2,843,30,21821
20,843,31,21533
4,843,32,21251
814,843,32,21218
13,843,33,21168
67,843,33,21928
816,843,34,22802
22,843,35,21481
815,843,36,23397
18,843,37,21237
808,843,37,22005
1,843,38,20567
3,843,39,20720
30,843,39,21400
17,843,40,21091
10,843,39,33827
5,843,40,21890
813,843,40,27620
15,843,42,22260
24,843,45,23499
16,843,47,28708
815,843,48,13900
815,843,50,28845
815,844,1,29270
30,844,2,30182
808,844,8,21422
13,844,9,22022
1,844,9,20833
67,844,9,21769
17,844,10,21050
4,844,10,21308
3,844,10,22573
2,844,10,22300
22,844,10,22717
16,844,10,21649
20,844,11,20623
814,844,11,20775
813,844,11,23881
18,844,13,21368
155,844,13,21820
153,844,13,22713
15,844,13,23066
30,844,14,20907
39,844,14,27353
5,844,15,22854
24,844,15,24634
815,844,16,22895
816,844,16,22779
24,844,16,56611
808,844,19,21323
1,844,20,21075
17,844,21,20421
3,844,22,20927
2,844,22,21919
4,844,23,21732
13,844,23,21322
67,844,23,22128
155,844,23,23455
22,844,24,22868
814,844,24,20930
20,844,25,20112
16,844,25,21084
813,844,25,22555
15,844,25,22862
18,844,26,22639
39,844,27,24962
153,844,29,21826
30,844,30,20379
5,844,31,21633
814,844,32,20887
815,844,32,22365
3,844,33,20949
1,844,34,35688
816,844,33,24837
808,844,34,21838
13,844,34,23471
17,844,35,20843
4,844,36,21702
2,844,36,20872
24,844,35,25125
155,844,38,22456
18,844,39,21417
153,844,39,21986
20,844,40,20385
15,844,39,22219
67,844,40,22032
22,844,40,21687
16,844,40,21006
24,844,37,43603
813,844,41,21827
815,844,42,21715
3,844,44,20308
814,844,44,21403
17,844,45,22087
808,844,45,21662
30,844,45,20597
4,844,46,21379
813,844,45,13925
1,844,46,22041
2,844,46,21884
13,844,46,26685
20,844,47,20489
39,844,45,24474
5,844,53,23114
153,844,55,21931
155,845,1,24871
815,845,7,23592
813,845,8,22689
20,845,9,20253
67,845,9,20818
4,845,10,20567
17,845,10,20881
30,845,10,20084
1,845,11,19761
808,845,11,21856
3,845,11,20647
13,845,11,20800
153,845,11,20741
22,845,11,29936
16,845,13,20773
18,845,14,20015
39,845,14,24843
814,845,15,20070
15,845,15,22364
5,845,16,21019
24,845,16,23157
10,845,16,22744
816,845,17,23176
20,845,18,19887
4,845,19,20238
17,845,19,20079
813,845,20,24821
13,845,21,21635
2,845,21,21322
1,845,23,20235
22,845,23,21226
153,845,24,20872
67,845,25,24745
155,845,25,21128
30,845,26,20487
808,845,26,24232
3,845,27,19534
4,845,29,20738
17,845,29,20279
5,845,28,20807
815,845,29,21143
15,845,29,21723
39,845,28,24448
18,845,30,20763
16,845,30,20267
814,845,32,20126
20,845,34,20426
1,845,35,20473
816,845,34,22982
22,845,35,20650
13,845,36,22419
813,845,36,21574
2,845,36,21953
153,845,36,21019
4,845,39,20380
10,845,38,21632
30,845,41,20451
808,845,41,21739
5,845,41,23068
3,845,42,20395
67,845,42,20819
15,845,43,23001
155,845,44,20500
17,845,47,19984
20,845,48,20292
815,845,47,21829
18,845,48,20107
1,845,49,20988
16,845,48,23230
39,845,47,24298
2,845,50,20796
153,845,50,23143
816,845,49,21708
814,845,51,20573
813,845,53,22077
10,845,53,21170
22,845,54,20637
30,846,12,35084
18,846,15,25280
3,846,15,25189
20,846,16,28536
17,846,16,37735
4,846,17,25352
5,846,19,26477
814,846,20,24970
1,846,22,31445
10,846,22,26827
15,846,24,25595
813,846,25,26468
13,846,26,26615
39,846,25,28325
814,846,27,19360
808,846,28,28856
153,846,29,25907
22,846,32,25921
18,846,33,26421
814,846,32,47226
2,846,33,25851
67,846,33,26073
4,846,34,31382
3,846,33,25310
24,846,32,28298
816,846,33,27577
155,846,34,28642
16,846,34,25037
39,846,33,39917
1,846,43,19347
15,846,46,26065
18,846,48,24670
1,846,49,26977
5,846,52,25878
3,846,53,25116
813,846,54,25687
17,846,55,26269
153,846,56,27550
67,846,62,25045
816,846,63,26464
16,846,68,27879
22,846,68,25675
2,846,69,26281
18,847,8,23650
24,847,9,27202
18,847,13,14501
22,847,15,23305
16,847,16,24052
4,847,17,23893
3,847,17,23105
813,847,17,23571
67,847,17,23949
816,847,17,24143
30,847,18,24472
4,847,19,26348
18,847,19,23868
3,847,19,22986
153,847,19,26045
22,847,19,25066
5,847,19,44037
15,847,19,51684
813,847,19,24943
20,847,20,23872
17,847,20,29546
67,847,20,24649
13,847,21,24886
30,847,21,24196
816,847,23,30497
816,847,33,24655
30,847,34,22832
16,847,34,22923
10,847,34,24425
22,847,34,24684
67,847,34,23970
2,847,35,23113
814,847,35,22479
18,847,35,23589
37,847,35,30288
153,847,35,24863
813,847,35,23593
24,847,35,34897
155,847,36,23687
13,847,36,22742
808,847,36,23816
17,847,36,22402
4,847,36,26129
3,847,36,22735
15,847,36,23332
816,847,36,14538
20,847,37,22958
39,847,37,29115
18,847,37,31718
814,847,43,28630
16,847,45,14565
16,847,49,32449
17,847,50,22770
22,847,50,23059
67,847,50,26561
814,847,50,14538
18,847,51,23741
153,847,51,23338
813,847,51,23700
10,847,51,25079
39,847,51,29540
30,847,52,22869
13,847,52,22560
2,847,52,23364
37,847,52,24039
15,847,52,25140
816,847,52,30714
20,847,53,22526
24,847,52,33278
155,847,53,24618
808,847,53,24145
3,847,53,22702
13,847,53,28346
814,847,53,23129
813,847,61,31701
813,848,10,21301
2,848,11,22114
22,848,11,21163
155,848,11,23492
1,848,12,20340
3,848,12,21054
