driverId,raceId,constructorId,fastestLap,rank,fastestLapTime,fastestLapSpeed
1,18,1,39,2,127452,218.3
2,18,2,41,3,127739,217.586
3,18,3,41,5,128090,216.719
4,18,4,58,7,128603,215.464
5,18,1,43,1,127418,218.385
6,18,3,50,14,129639,212.974
7,18,5,22,12,129534,213.224
8,18,6,20,4,127903,217.18
9,18,2,15,9,128753,215.1
10,18,7,23,13,129558,213.166
11,18,8,24,15,130892,210.038
12,18,4,20,16,131384,208.907
13,18,6,23,6,128175,216.51
14,18,9,21,11,129502,213.3
15,18,7,18,10,129310,213.758
16,18,10,8,17,132021,207.461
22,18,11,44,8,128736,215.141
8,19,6,37,2,135405,209.158
9,19,2,39,6,135921,208.033
5,19,1,19,7,135922,208.031
15,19,7,53,8,136068,207.715
1,19,1,53,3,135462,209.033
2,19,2,55,1,135366,209.244
17,19,9,53,12,136696,206.366
4,19,4,40,10,136288,207.24
14,19,9,55,9,136206,207.417
18,19,11,56,4,135715,208.481
12,19,4,52,15,136956,205.812
21,19,10,52,16,136962,205.8
22,19,11,55,11,136693,206.372
3,19,3,55,13,136782,206.182
19,19,8,55,18,138171,203.265
11,19,8,53,19,138504,202.578
6,19,3,19,17,137711,204.222
20,19,5,37,14,136870,205.995
13,19,6,15,5,135914,208.048
16,19,10,3,20,140330,198.891
13,20,6,38,3,133600,208.153
8,20,6,35,4,133709,207.911
9,20,2,55,5,133775,207.765
2,20,2,48,2,133565,208.231
5,20,1,49,1,133193,209.062
15,20,7,45,7,134204,206.819
17,20,9,51,8,134305,206.597
3,20,3,57,6,134072,207.109
10,20,7,56,9,134807,205.503
4,20,4,35,13,135194,204.668
22,20,11,40,10,134855,205.399
21,20,10,56,11,135057,204.963
1,20,1,25,19,135520,203.969
6,20,3,30,17,135433,204.155
7,20,5,33,15,135333,204.369
19,20,8,45,14,135324,204.389
11,20,8,56,20,135891,203.18
14,20,9,43,16,135351,204.331
16,20,10,55,18,135442,204.136
12,20,4,31,12,135129,204.808
18,20,11,11,21,136125,202.686
8,21,6,46,1,121670,205.191
13,21,6,45,2,121801,204.863
1,21,1,20,3,122017,204.323
9,21,2,20,4,122106,204.102
17,21,9,19,8,122564,202.969
18,21,11,66,5,122353,203.489
6,21,3,48,15,123549,200.576
15,21,7,45,10,122758,202.494
2,21,2,21,7,122519,203.08
21,21,10,40,14,123439,200.841
10,21,7,57,12,123007,201.886
14,21,9,57,11,122842,202.288
11,21,8,34,17,124617,198.045
3,21,3,20,13,123319,201.13
4,21,4,15,9,122683,202.677
22,21,11,21,16,123858,199.837
5,21,1,19,6,122453,203.243
19,21,8,6,20,126864,192.922
7,21,5,6,19,125999,194.862
12,21,4,6,18,125444,196.128
13,22,6,16,3,126666,221.734
1,22,1,31,2,126529,222.085
8,22,6,20,1,126506,222.144
9,22,2,17,4,126780,221.442
2,22,2,20,5,127219,220.328
4,22,4,57,6,127280,220.174
17,22,9,14,7,127630,219.294
3,22,3,55,9,127795,218.882
14,22,9,41,12,127966,218.457
15,22,7,52,11,127926,218.556
18,22,11,57,13,127998,218.377
5,22,1,55,8,127640,219.269
10,22,7,28,16,128303,217.623
22,22,11,56,14,128017,218.33
12,22,4,40,10,127867,218.703
16,22,10,35,18,128780,216.454
20,22,5,38,15,128180,217.926
7,22,5,19,17,128745,216.539
1,23,1,71,6,118510,153.152
9,23,2,75,5,117933,154.286
13,23,6,76,4,117886,154.379
17,23,9,74,8,119036,152.133
20,23,5,74,7,118787,152.614
22,23,11,75,9,119574,151.104
6,23,3,75,13,119910,150.469
5,23,1,74,2,117282,155.586
8,23,6,74,1,116689,156.789
4,23,4,73,3,117869,154.413
18,23,11,74,10,119582,151.089
10,23,7,75,11,119618,151.021
15,23,7,75,12,119830,150.62
2,23,2,72,14,120251,149.829
16,23,10,60,16,122039,146.564
3,23,3,58,15,121270,147.951
12,23,4,40,17,131187,131.86
21,23,10,33,18,132849,129.5
14,23,9,7,20,142112,117.753
7,23,5,7,19,141150,118.872
9,24,2,47,4,117539,202.473
2,24,2,25,2,117430,202.758
14,24,9,36,7,118085,201.057
10,24,7,31,17,119087,198.51
13,24,6,11,6,118006,201.261
15,24,7,38,15,118870,199.056
22,24,11,35,10,118301,200.503
20,24,5,33,12,118532,199.913
5,24,1,62,11,118462,200.091
3,24,3,14,5,117977,201.336
18,24,11,58,19,119352,197.847
17,24,9,51,8,118201,200.759
7,24,5,34,13,118620,199.689
21,24,10,41,16,119066,198.563
6,24,3,30,14,118784,199.273
4,24,4,16,9,118225,200.697
12,24,4,16,18,119239,198.129
8,24,6,14,1,117387,202.871
1,24,1,4,3,117506,202.559
16,24,10,7,20,120666,194.624
13,25,6,20,2,116729,206.956
8,25,6,16,1,116630,207.224
15,25,7,12,7,117567,204.721
5,25,1,46,3,117134,205.87
9,25,2,16,4,117172,205.768
17,25,9,22,6,117507,204.879
12,25,4,24,10,117758,204.218
4,25,4,39,8,117641,204.525
14,25,9,23,12,117818,204.06
1,25,1,40,5,117453,205.022
10,25,7,45,13,117836,204.013
20,25,5,36,11,117760,204.212
2,25,2,46,9,117716,204.328
22,25,11,54,14,117969,203.665
6,25,3,60,15,118054,203.443
3,25,3,38,17,118311,202.776
7,25,5,28,16,118216,203.022
21,25,10,53,19,118557,202.141
16,25,10,41,18,118462,202.385
18,25,11,15,20,120876,196.345
1,26,1,16,3,132817,199.398
2,26,2,21,2,132719,199.609
22,26,11,21,11,133386,198.183
8,26,6,18,1,132150,200.842
5,26,1,17,5,133130,198.728
4,26,4,17,6,133133,198.722
15,26,7,22,13,133808,197.292
6,26,3,21,14,134277,196.31
3,26,3,21,16,134797,195.234
17,26,9,17,4,132952,199.109
7,26,5,21,9,133367,198.224
10,26,7,19,15,134610,195.619
13,26,6,19,8,133257,198.458
9,26,2,22,12,133539,197.859
18,26,11,21,10,133376,198.205
12,26,4,21,7,133203,198.573
21,26,10,21,17,134930,194.96
16,26,10,5,18,138160,188.545
1,27,1,17,2,116039,216.552
12,27,4,66,9,116910,214.099
13,27,6,19,5,116502,215.241
2,27,2,52,1,115987,216.7
5,27,1,63,4,116495,215.261
8,27,6,66,3,116342,215.692
9,27,2,17,6,116610,214.937
20,27,5,20,8,116772,214.484
15,27,7,17,12,117023,213.785
3,27,3,34,15,117380,212.799
4,27,4,17,13,117115,213.53
7,27,5,63,10,116969,213.935
14,27,9,18,11,116994,213.866
6,27,3,23,17,117691,211.947
16,27,10,66,18,117889,211.408
21,27,10,67,20,118208,210.546
18,27,11,56,16,117636,212.097
22,27,11,30,19,117986,211.145
17,27,9,20,14,117206,213.278
10,27,7,24,7,116712,214.652
5,28,1,19,7,121753,192.917
10,28,7,42,6,121671,193.111
8,28,6,61,1,121195,194.243
4,28,4,47,8,121793,192.823
1,28,1,15,3,121493,193.533
12,28,4,64,4,121537,193.428
15,28,7,65,5,121638,193.189
9,28,2,70,9,121941,192.475
17,28,9,67,10,122125,192.043
2,28,2,67,11,122183,191.908
14,28,9,67,16,122732,190.634
18,28,11,63,13,122397,191.409
6,28,3,67,18,123307,189.319
3,28,3,57,12,122397,191.409
21,28,10,68,15,122641,190.844
22,28,11,65,14,122436,191.319
13,28,6,16,2,121355,193.861
7,28,5,29,17,123220,189.516
16,28,10,29,19,123650,188.542
20,28,5,17,20,124222,187.262
13,29,6,36,1,138708,197.637
1,29,1,16,2,138884,197.285
