driverId,driver_name,dob,nationality,dob_formatted,raceId,grid,results_position,positionText,positionOrder,total_results_points,results_laps,fastestLap,rank,race_time,results_fastestlaptime,fastestLapSpeed,statusId,status,year,round,circuitId,races_name,date,dstnd_points,dstnd_position,wins,driver_country,race_country,avg_lap_time,winner_name,win_ratio
1,Lewis Hamilton,1-7-1985,British,1985,2,12,7,7,7,1,31,17,11,4312825,01:39.1,201.276,1,Finished,2009,2,2,Malaysian Grand Prix,4-5-2009,1,10,0,Unitied Kingdom,Malaysia,109398.5484,N-A,0
1,Lewis Hamilton,1-7-1985,British,1985,3,9,6,6,6,3,56,39,12,7135351,01:54.7,171.138,1,Finished,2009,3,17,Chinese Grand Prix,4-19-2009,4,10,0,Unitied Kingdom,China,127416.9821,N-A,0
1,Lewis Hamilton,1-7-1985,British,1985,4,5,4,4,4,5,57,13,6,5530278,01:34.9,205.269,1,Finished,2009,4,3,Bahrain Grand Prix,4-26-2009,9,7,0,Unitied Kingdom,Bahrain,97022.42105,N-A,0
1,Lewis Hamilton,1-7-1985,British,1985,7,16,13,13,13,0,58,53,15,5265302,01:28.6,216.986,1,Finished,2009,7,5,Turkish Grand Prix,6-7-2009,9,11,0,Unitied Kingdom,Turkey,90781.06897,N-A,0
1,Lewis Hamilton,1-7-1985,British,1985,10,4,1,1,1,10,70,16,4,5903876,01:22.5,191.219,1,Finished,2009,10,11,Hungarian Grand Prix,7-26-2009,19,8,1,Unitied Kingdom,Hungary,84341.08571,Lewis Hamilton,0.125
1,Lewis Hamilton,1-7-1985,British,1985,11,1,2,2,2,8,57,57,4,5753647,01:39.1,196.943,1,Finished,2009,11,12,European Grand Prix,8-23-2009,27,6,1,Unitied Kingdom,Europe,100941.1754,N-A,0.166666667
1,Lewis Hamilton,1-7-1985,British,1985,14,1,1,1,1,10,61,36,2,6966337,01:48.3,168.561,1,Finished,2009,14,15,Singapore Grand Prix,9-27-2009,37,6,2,Unitied Kingdom,Singapore,114202.2459,Lewis Hamilton,0.333333333
1,Lewis Hamilton,1-7-1985,British,1985,15,3,3,3,3,6,53,13,6,5306915,01:33.3,224.162,1,Finished,2009,15,22,Japanese Grand Prix,10-4-2009,43,6,2,Unitied Kingdom,Japan,100130.4717,N-A,0.333333333
1,Lewis Hamilton,1-7-1985,British,1985,16,17,3,3,3,6,71,59,6,5562025,01:14.3,208.654,1,Finished,2009,16,18,Brazilian Grand Prix,10-18-2009,49,5,2,Unitied Kingdom,Brazil,78338.38028,N-A,0.4
1,Lewis Hamilton,1-7-1985,British,1985,18,1,1,1,1,10,58,39,2,5690616,01:27.5,218.3,1,Finished,2008,1,1,Australian Grand Prix,3-16-2008,10,1,1,Unitied Kingdom,Australia,98114.06897,Lewis Hamilton,1
1,Lewis Hamilton,1-7-1985,British,1985,19,9,5,5,5,4,56,53,3,5525103,01:35.5,209.033,1,Finished,2008,2,2,Malaysian Grand Prix,3-23-2008,14,1,1,Unitied Kingdom,Malaysia,98662.55357,N-A,1
1,Lewis Hamilton,1-7-1985,British,1985,21,5,3,3,3,6,66,20,3,5903238,01:22.0,204.323,1,Finished,2008,4,4,Spanish Grand Prix,4-27-2008,20,2,1,Unitied Kingdom,Spain,89443,N-A,0.5
1,Lewis Hamilton,1-7-1985,British,1985,22,3,2,2,2,8,58,31,2,5213230,01:26.5,222.085,1,Finished,2008,5,5,Turkish Grand Prix,5-11-2008,28,3,1,Unitied Kingdom,Turkey,89883.27586,N-A,0.333333333
1,Lewis Hamilton,1-7-1985,British,1985,23,3,1,1,1,10,76,71,6,7242742,01:18.5,153.152,1,Finished,2008,6,6,Monaco Grand Prix,5-25-2008,38,1,2,Unitied Kingdom,Monaco,95299.23684,Lewis Hamilton,2
1,Lewis Hamilton,1-7-1985,British,1985,25,13,10,10,10,0,70,40,5,5564783,01:17.5,205.022,1,Finished,2008,8,8,French Grand Prix,6-22-2008,38,4,2,Unitied Kingdom,France,79496.65714,N-A,0.5
1,Lewis Hamilton,1-7-1985,British,1985,26,4,1,1,1,10,60,16,3,5949440,01:32.8,199.398,1,Finished,2008,9,9,British Grand Prix,7-6-2008,48,1,3,Unitied Kingdom,United Kingdom,99157.33333,Lewis Hamilton,3
1,Lewis Hamilton,1-7-1985,British,1985,27,1,1,1,1,10,67,17,2,5480874,01:16.0,216.552,1,Finished,2008,10,10,German Grand Prix,7-20-2008,58,1,4,Unitied Kingdom,Germany,81804.08955,Lewis Hamilton,4
1,Lewis Hamilton,1-7-1985,British,1985,28,1,5,5,5,4,70,15,3,5870115,01:21.5,193.533,1,Finished,2008,11,11,Hungarian Grand Prix,8-3-2008,62,1,4,Unitied Kingdom,Hungary,83858.78571,N-A,4
1,Lewis Hamilton,1-7-1985,British,1985,29,2,2,2,2,8,57,16,2,5737950,01:38.9,197.285,1,Finished,2008,12,12,European Grand Prix,8-24-2008,70,1,4,Unitied Kingdom,Europe,100665.7895,N-A,4
1,Lewis Hamilton,1-7-1985,British,1985,30,1,3,3,3,6,44,20,2,4989933,01:48.1,233.175,1,Finished,2008,13,13,Belgian Grand Prix,9-7-2008,76,1,4,Unitied Kingdom,Belgium,113407.5682,N-A,4
1,Lewis Hamilton,1-7-1985,British,1985,31,15,7,7,7,2,53,52,5,5237406,01:29.7,232.44,1,Finished,2008,14,14,Italian Grand Prix,9-14-2008,78,1,4,Unitied Kingdom,Italy,98818.98113,N-A,4
1,Lewis Hamilton,1-7-1985,British,1985,32,2,3,3,3,6,61,14,4,7042221,01:46.1,171.969,1,Finished,2008,15,15,Singapore Grand Prix,9-28-2008,84,1,4,Unitied Kingdom,Singapore,115446.2459,N-A,4
1,Lewis Hamilton,1-7-1985,British,1985,33,1,12,12,12,0,67,65,11,5500792,01:19.6,206.47,1,Finished,2008,16,16,Japanese Grand Prix,10-12-2008,84,1,4,Unitied Kingdom,Japan,82101.37313,N-A,4
1,Lewis Hamilton,1-7-1985,British,1985,34,1,1,1,1,10,56,13,1,5517403,01:36.3,203.722,1,Finished,2008,17,17,Chinese Grand Prix,10-19-2008,94,1,5,Unitied Kingdom,China,98525.05357,Lewis Hamilton,5
1,Lewis Hamilton,1-7-1985,British,1985,35,4,5,5,5,4,71,31,4,5690342,01:14.2,209.177,1,Finished,2008,18,18,Brazilian Grand Prix,11-2-2008,98,1,5,Unitied Kingdom,Brazil,80145.66197,N-A,5
1,Lewis Hamilton,1-7-1985,British,1985,36,4,3,3,3,6,58,20,3,5147365,01:26.4,221.083,1,Finished,2007,1,1,Australian Grand Prix,3-18-2007,6,3,0,Unitied Kingdom,Australia,88747.67241,N-A,0
1,Lewis Hamilton,1-7-1985,British,1985,37,4,2,2,2,8,56,22,1,5552487,01:36.7,206.355,1,Finished,2007,2,2,Malaysian Grand Prix,4-8-2007,14,3,0,Unitied Kingdom,Malaysia,99151.55357,N-A,0
1,Lewis Hamilton,1-7-1985,British,1985,38,2,2,2,2,8,57,18,2,5609875,01:34.3,206.674,1,Finished,2007,3,3,Bahrain Grand Prix,4-15-2007,22,3,0,Unitied Kingdom,Bahrain,98418.85965,N-A,0
