driverId,dstnd_points,results_laps,wins
1,4405.5,17623,103
2,259,7533,0
3,1594.5,11159,23
4,2061,18438,32
5,105,5975,1
6,9,1955,0
8,1873,17093,21
7,6,1279,0
9,274,5353,1
10,51,4712,0
11,44,3799,0
13,1167,14036,11
14,382,6533,9
12,19,1213,0
15,239.5,9101,1
16,124,6009,0
17,1047.5,10180,9
18,1235,14006,15
19,0,986,0
20,3090,16332,53
21,254,7760,3
22,598,9955,11
23,292,5335,6
24,26,3801,0
25,42,1592,0
27,4,2176,0
29,0,774,0
30,1141,8836,64
31,301,3395,7
32,14,2331,0
33,7,2009,0
35,142,4054,5
37,35,2399,0
39,5,2191,0
40,3,414,0
41,3,406,0
26,0,1257,0
42,8,737,0
43,13,1477,0
44,47,2724,1
46,0,694,0
45,0,549,0
47,1,912,0
48,4,478,0
49,78,2123,1
50,7,1644,0
51,1,575,0
52,1,634,0
53,0,298,0
55,52,1363,0
56,88,1686,1
34,0,77,0
57,228,1567,13
36,0,201,0
38,0,553,0
58,0,58,0
61,0,72,0
62,0,43,0
63,18,1228,0
64,4,989,0
65,12,1202,0
67,29,2612,0
68,0,335,0
69,0,369,0
71,63,1168,5
73,0,378,0
74,0,119,0
75,1,692,0
76,0,389,0
77,27,698,1
59,0,72,0
66,0,55,0
78,1,277,0
79,0,604,0
81,0,115,0
82,0,102,0
83,0,233,0
84,1,248,0
85,0,69,0
153,31,2361,0
154,391,8849,0
155,125,3441,0
807,521,9278,0
808,64,2992,0
810,0,769,0
811,33,2199,0
812,0,535,0
813,76,4505,1
814,121,3284,0
815,1201,12877,4
817,1287,12661,8
816,0,1043,0
818,51,2993,0
819,0,2031,0
820,0,1872,0
821,6,3054,0
822,1787,11270,10
823,0,931,0
824,2,1752,0
825,183,7428,0
826,202,5828,0
827,0,1,0
828,18,4889,0
829,0,926,0
830,2011.5,8604,35
831,29,2224,0
832,782.5,8485,1
833,0,737,0
834,0,302,0
835,9,1605,0
836,6,1996,0
837,0,611,0
838,26,2207,0
839,364,5882,1
840,194,6606,0
841,21,3361,0
842,332,5724,1
843,4,1178,0
844,868,5370,5
845,1,1118,0
846,428,4593,0
847,294,4473,1
848,201,3284,0
849,9,3261,0
850,0,140,0
851,0,87,0
852,44,2179,0
853,0,1008,0
854,12,2202,0
855,6,1060,0
856,2,53,0
60,0,170,0
70,0,58,0
251,,,
106,,,
681,,,
285,,,
120,,,
264,,,
802,,,
664,,,
601,,,
647,,,
497,,,
452,,,
496,,,
455,,,
630,,,
209,,,
665,,,
276,,,
606,,,
577,,,
801,,,
599,,,
550,,,
756,,,
151,,,
384,,,
253,,,
700,,,
399,,,
119,,,
270,,,
437,,,
620,,,
518,,,
549,,,
268,,,
310,,,
