driverId,raceId,points,position,wins
1,18,10,1,1
2,18,8,2,0
3,18,6,3,0
4,18,5,4,0
5,18,4,5,0
6,18,3,6,0
7,18,2,7,0
8,18,1,8,0
1,19,14,1,1
2,19,11,3,0
3,19,6,6,0
4,19,6,7,0
5,19,10,4,0
6,19,3,9,0
7,19,2,10,0
8,19,11,2,1
9,19,8,5,0
15,19,5,8,0
17,19,2,11,0
14,19,0,12,0
18,19,0,13,0
12,19,0,14,0
21,19,0,15,0
22,19,0,16,0
19,19,0,17,0
11,19,0,18,0
1,20,14,3,1
2,20,16,2,0
3,20,7,8,0
4,20,6,9,0
5,20,14,5,0
6,20,3,11,0
7,20,2,12,0
8,20,19,1,1
9,20,14,4,0
15,20,8,7,0
17,20,4,10,0
14,20,0,13,0
18,20,0,15,0
12,20,0,17,0
21,20,0,18,0
22,20,0,16,0
19,20,0,19,0
11,20,0,20,0
13,20,10,6,1
10,20,0,14,0
16,20,0,21,0
1,21,20,2,1
2,21,16,5,0
3,21,7,9,0
4,21,6,10,0
5,21,14,6,0
6,21,5,11,0
7,21,2,13,0
8,21,29,1,2
9,21,19,3,0
15,21,9,7,0
17,21,8,8,0
14,21,0,15,0
18,21,3,12,0
12,21,0,18,0
21,21,0,16,0
22,21,0,17,0
19,21,0,20,0
11,21,0,19,0
13,21,18,4,1
10,21,0,14,0
16,21,0,21,0
1,22,28,3,1
2,22,20,5,0
3,22,8,10,0
4,22,9,8,0
5,22,14,6,0
6,22,5,11,0
7,22,2,13,0
8,22,35,1,2
9,22,24,4,0
15,22,9,9,0
17,22,10,7,0
14,22,0,14,0
18,22,3,12,0
12,22,0,18,0
21,22,0,16,0
22,22,0,17,0
19,22,0,20,0
11,22,0,19,0
13,22,28,2,2
10,22,0,15,0
16,22,0,21,0
20,22,0,22,0
1,23,38,1,2
2,23,20,5,0
3,23,8,10,0
4,23,9,8,0
5,23,15,6,0
6,23,7,11,0
7,23,2,15,0
8,23,35,2,2
9,23,32,4,0
15,23,9,9,0
17,23,15,7,0
14,23,0,16,0
18,23,3,13,0
12,23,0,19,0
21,23,0,18,0
22,23,3,14,0
19,23,0,21,0
11,23,0,20,0
13,23,34,3,2
10,23,0,17,0
16,23,0,22,0
20,23,4,12,0
1,24,38,2,2
2,24,28,5,0
3,24,8,10,0
4,24,9,9,0
5,24,15,6,0
6,24,7,11,0
7,24,2,17,0
8,24,35,4,2
9,24,42,1,1
15,24,12,8,0
17,24,15,7,0
14,24,6,12,0
18,24,3,16,0
12,24,0,19,0
21,24,0,18,0
22,24,5,15,0
19,24,0,21,0
11,24,0,20,0
13,24,38,3,2
10,24,5,13,0
16,24,0,22,0
20,24,5,14,0
1,25,38,4,2
2,25,28,5,0
3,25,8,10,0
4,25,10,9,0
5,25,20,6,0
6,25,7,11,0
7,25,2,18,0
8,25,43,3,2
9,25,46,2,1
15,25,18,7,0
17,25,18,8,0
14,25,6,12,0
18,25,3,16,0
12,25,2,17,0
21,25,0,19,0
22,25,5,15,0
19,25,0,21,0
11,25,0,20,0
13,25,48,1,3
10,25,5,13,0
16,25,0,22,0
20,25,5,14,0
1,26,48,1,3
2,26,36,5,0
3,26,8,11,0
4,26,13,9,0
5,26,24,6,0
6,26,8,12,0
7,26,2,17,0
8,26,48,3,2
9,26,46,4,1
15,26,20,7,0
17,26,18,8,0
14,26,6,13,0
18,26,3,16,0
12,26,2,18,0
21,26,0,19,0
22,26,11,10,0
19,26,0,21,0
11,26,0,20,0
13,26,48,2,3
10,26,5,14,0
16,26,0,22,0
20,26,5,15,0
1,27,58,1,4
2,27,41,5,0
3,27,8,12,0
4,27,13,9,0
5,27,28,6,0
6,27,8,13,0
7,27,2,18,0
8,27,51,3,2
9,27,48,4,1
15,27,20,7,0
17,27,18,8,0
14,27,6,14,0
18,27,3,17,0
12,27,10,11,0
21,27,0,19,0
22,27,11,10,0
19,27,0,22,0
11,27,0,20,0
13,27,54,2,3
10,27,5,16,0
16,27,0,21,0
20,27,6,15,0
1,28,62,1,4
2,28,41,5,0
3,28,8,13,0
4,28,18,8,0
5,28,38,6,1
6,28,8,14,0
7,28,2,18,0
8,28,57,2,2
9,28,49,4,1
15,28,22,7,0
17,28,18,9,0
14,28,6,15,0
18,28,3,17,0
12,28,13,11,0
21,28,0,19,0
22,28,11,12,0
19,28,0,22,0
11,28,0,20,0
13,28,54,3,3
10,28,13,10,0
16,28,0,21,0
20,28,6,16,0
1,29,70,1,4
2,29,41,6,0
3,29,9,13,0
4,29,18,8,0
5,29,43,5,1
6,29,8,15,0
7,29,2,18,0
8,29,57,3,2
9,29,55,4,1
15,29,26,7,0
17,29,18,9,0
14,29,6,16,0
18,29,3,17,0
12,29,13,11,0
21,29,0,19,0
22,29,11,12,0
19,29,0,22,0
11,29,0,20,0
13,29,64,2,4
10,29,15,10,0
16,29,0,21,0
20,29,9,14,0
1,30,76,1,4
2,30,49,5,0
3,30,9,14,0
4,30,23,8,0
5,30,43,6,1
6,30,8,15,0
7,30,4,17,0
8,30,57,4,2
9,30,58,3,1
15,30,26,7,0
17,30,19,9,0
14,30,6,16,0
18,30,3,18,0
12,30,13,11,0
21,30,0,19,0
22,30,11,13,0
19,30,0,22,0
11,30,0,21,0
13,30,74,2,5
10,30,15,10,0
16,30,0,20,0
20,30,13,12,0
1,31,78,1,4
2,31,53,5,0
3,31,9,14,0
4,31,28,7,0
5,31,51,6,1
6,31,8,15,0
7,31,4,17,0
8,31,57,4,2
9,31,64,3,1
15,31,26,8,0
17,31,20,10,0
14,31,6,16,0
18,31,3,18,0
12,31,13,12,0
21,31,0,19,0
22,31,11,13,0
19,31,0,22,0
11,31,0,21,0
13,31,77,2,5
10,31,15,11,0
16,31,0,20,0
20,31,23,9,1
1,32,84,1,4
2,32,56,5,0
3,32,17,12,0
4,32,38,7,1
5,32,51,6,1
6,32,9,15,0
7,32,4,17,0
8,32,57,4,2
9,32,64,3,1
15,32,26,9,0
17,32,20,11,0
14,32,8,16,0
18,32,3,18,0
12,32,13,13,0
21,32,0,19,0
22,32,11,14,0
19,32,0,22,0
11,32,0,21,0
13,32,77,2,5
10,32,20,10,0
16,32,0,20,0
20,32,27,8,1
1,33,84,1,4
2,33,56,5,0
3,33,17,13,0
4,33,48,7,2
5,33,51,6,1
6,33,9,15,0
7,33,4,17,0
8,33,63,4,2
9,33,72,3,1
15,33,30,9,0
17,33,21,10,0
14,33,8,16,0
18,33,3,18,0
12,33,18,12,0
21,33,0,19,0
22,33,11,14,0
19,33,0,22,0
11,33,0,21,0
13,33,79,2,5
10,33,20,11,0
16,33,0,20,0
20,33,30,8,1
20,34,30,8,1
16,34,0,20,0
10,34,22,10,0
13,34,87,2,5
11,34,0,21,0
19,34,0,22,0
22,34,11,14,0
21,34,0,19,0
12,34,19,12,0
18,34,3,18,0
14,34,8,16,0
17,34,21,11,0
15,34,30,9,0
9,34,75,3,1
8,34,69,4,2
7,34,4,17,0
6,34,9,15,0
5,34,51,7,1
4,34,53,6,2
3,34,17,13,0
2,34,60,5,0
1,34,94,1,5
1,35,98,1,5
2,35,60,6,0
3,35,17,13,0
4,35,61,5,2
5,35,53,7,1
6,35,9,15,0
7,35,4,17,0
8,35,75,3,2
9,35,75,4,1
15,35,31,9,0
17,35,21,11,0
14,35,8,16,0
18,35,3,18,0
12,35,19,12,0
