driverId,driver_number,dob,nationality
1,44,1/7/1985,British
2,\N,5/10/1977,German
3,6,6/27/1985,German
4,14,7/29/1981,Spanish
5,\N,10/19/1981,Finnish
6,\N,1/11/1985,Japanese
7,\N,2/28/1979,French
8,7,10/17/1979,Finnish
9,88,12/7/1984,Polish
10,\N,3/18/1982,German
11,\N,1/28/1977,Japanese
12,\N,7/25/1985,Brazilian
13,19,4/25/1981,Brazilian
14,\N,3/27/1971,British
15,\N,7/13/1974,Italian
16,99,1/11/1983,German
17,\N,8/27/1976,Australian
18,22,1/19/1980,British
19,\N,4/18/1979,British
20,5,7/3/1987,German
21,\N,1/14/1973,Italian
22,\N,5/23/1972,Brazilian
23,\N,6/30/1975,German
24,\N,8/6/1980,Italian
25,\N,2/15/1974,Austrian
26,\N,1/24/1983,American
27,\N,4/16/1979,Dutch
28,\N,6/13/1980,German
29,\N,7/9/1982,Japanese
30,\N,1/3/1969,German
31,\N,9/20/1975,Colombian
32,\N,2/7/1983,Austrian
33,\N,7/24/1976,Portuguese
34,\N,1/21/1975,Japanese
35,\N,4/9/1971,Canadian
36,\N,1/5/1978,French
37,\N,2/24/1971,Spanish
38,\N,9/23/1981,Dutch
39,\N,1/14/1977,Indian
40,\N,9/26/1980,Austrian
41,\N,3/23/1976,Brazilian
42,\N,9/11/1980,Brazilian
43,\N,9/19/1973,Brazilian
44,\N,9/2/1966,French
45,\N,2/4/1979,Italian
46,\N,5/30/1981,Italian
47,\N,1/1/1981,Hungarian
48,\N,3/29/1974,Spanish
49,\N,5/18/1967,German
50,\N,3/4/1972,Dutch
51,\N,7/31/1978,British
52,\N,5/20/1975,Irish
53,\N,3/3/1978,Danish
54,\N,3/5/1975,Brazilian
55,\N,6/11/1964,French
56,\N,11/10/1965,British
57,\N,9/28/1968,Finnish
58,\N,1/19/1976,Brazilian
59,\N,10/19/1978,Brazilian
60,\N,5/8/1975,Argentine
61,\N,9/11/1976,Czech
62,\N,7/20/1976,Malaysian
63,\N,11/30/1966,Finnish
64,\N,5/22/1970,Brazilian
65,\N,6/25/1964,British
66,\N,12/29/1969,British
67,\N,10/31/1988,Swiss
68,\N,2/12/1974,Japanese
69,\N,1/25/1971,Italian
70,\N,10/23/1966,Italian
71,\N,9/17/1960,British
72,\N,11/2/1975,French
73,\N,7/27/1968,Brazilian
74,\N,4/22/1978,Argentine
75,\N,4/1/1971,Japanese
76,\N,7/4/1973,Danish
77,\N,8/27/1959,Austrian
78,\N,3/19/1964,Italian
79,\N,5/29/1963,Japanese
80,\N,10/7/1966,Italian
81,\N,1/13/1968,Italian
82,\N,1/20/1975,Argentine
83,\N,3/20/1972,Portuguese
84,\N,6/1/1959,British
85,\N,5/30/1964,Italian
86,\N,2/18/1958,Italian
87,\N,4/8/1966,British
88,\N,9/8/1960,Japanese
89,\N,9/5/1963,Japanese
90,\N,2/11/1959,Brazilian
91,\N,12/20/1968,Austrian
92,\N,12/23/1962,Belgian
93,\N,11/17/1967,Italian
94,\N,4/23/1961,Italian
95,\N,8/8/1953,British
96,\N,12/27/1969,French
97,\N,10/3/1969,Italian
98,\N,10/1/1963,Swiss
99,\N,3/2/1962,Italian
100,\N,9/28/1963,French
101,\N,9/5/1965,Australian
102,\N,3/21/1960,Brazilian
103,\N,8/24/1964,French
104,\N,1/18/1971,Brazilian
105,\N,12/23/1956,Italian
106,\N,11/23/1969,Monegasque
107,\N,7/4/1960,Austrian
108,\N,4/23/1963,French
109,\N,1/31/1966,Finnish
110,\N,5/31/1959,Italian
111,\N,1/1/1963,French
112,\N,7/27/1954,French
113,\N,11/19/1969,Belgian
114,\N,7/28/1961,French
115,\N,3/7/1969,Japanese
116,\N,9/1/1968,French
117,\N,2/24/1955,French
118,\N,8/27/1954,British
119,\N,4/17/1954,Italian
120,\N,4/2/1963,Italian
121,\N,10/5/1962,American
122,\N,5/24/1963,Italian
123,\N,7/13/1957,Belgian
124,\N,10/7/1965,Italian
125,\N,2/24/1968,Italian
126,\N,3/10/1955,Japanese
127,\N,4/20/1963,Brazilian
128,\N,9/30/1961,Belgian
129,\N,9/2/1958,French
130,\N,5/6/1964,Swiss
131,\N,5/12/1963,Italian
132,\N,7/20/1959,Italian
133,\N,3/18/1964,Italian
134,\N,9/19/1964,Italian
135,\N,3/3/1961,British
136,\N,6/2/1956,Dutch
137,\N,8/17/1952,Brazilian
138,\N,2/23/1953,Japanese
139,\N,1/12/1962,Italian
140,\N,9/8/1956,Swedish
141,\N,10/9/1961,British
142,\N,2/27/1965,Portuguese
143,\N,3/8/1968,German
144,\N,6/13/1966,Japanese
145,\N,7/7/1959,Italian
146,\N,7/20/1964,German
147,\N,4/20/1961,Italian
148,\N,3/27/1965,Swiss
149,\N,7/20/1960,Italian
150,\N,3/29/1961,Australian
151,\N,3/26/1964,British
152,\N,9/10/1952,Italian
153,\N,3/23/1990,Spanish
154,8,4/17/1986,French
155,10,9/13/1986,Japanese
156,\N,11/7/1956,British
157,\N,4/4/1958,German
158,\N,1/10/1958,American
159,\N,5/15/1959,Spanish
160,\N,1/16/1952,Italian
161,\N,3/18/1962,German
162,\N,5/27/1961,French
163,\N,7/4/1948,French
164,\N,10/24/1960,German
165,\N,8/19/1954,Argentine
166,\N,6/26/1955,French
167,\N,6/17/1960,Spanish
168,\N,9/12/1948,French
169,\N,1/9/1960,French
170,\N,3/9/1955,Italian
171,\N,9/22/1958,Swiss
172,\N,11/21/1943,French
173,\N,3/26/1958,Italian
174,\N,4/26/1958,British
175,\N,6/25/1949,French
176,\N,9/18/1951,Swiss
177,\N,12/6/1948,Finnish
178,\N,11/2/1946,Australian
179,\N,10/8/1954,Dutch
180,\N,8/1/1961,Canadian
181,\N,10/6/1951,German
182,\N,2/22/1949,Austrian
183,\N,12/30/1956,French
184,\N,1/31/1954,Italian
185,\N,11/20/1957,German
186,\N,11/27/1957,British
187,\N,5/4/1946,British
188,\N,1/25/1956,Venezuelan
189,\N,1/24/1954,Austrian
190,\N,4/12/1961,Italian
191,\N,3/30/1961,New Zealander
192,\N,2/3/1957,Brazilian
193,\N,3/9/1950,American
194,\N,11/14/1954,Chilean
195,\N,11/16/1958,Colombian
196,\N,12/4/1957,Brazilian
197,\N,7/10/1946,French
198,\N,11/4/1953,Canadian
199,\N,4/12/1942,Argentine
200,\N,9/30/1946,German
201,\N,11/25/1946,Swedish
202,\N,3/26/1952,French
203,\N,1/18/1950,Canadian
204,\N,6/15/1958,Italian
205,\N,9/19/1946,British
206,\N,3/11/1953,Irish
207,\N,2/28/1940,American
208,\N,7/26/1946,Spanish
209,\N,5/1/1951,British
210,\N,5/6/1958,Irish
211,\N,2/26/1955,British
212,\N,2/5/1956,Mexican
213,\N,1/2/1957,Italian
214,\N,3/31/1956,American
215,\N,8/31/1953,Argentine
216,\N,10/10/1952,Italian
217,\N,4/13/1949,Argentine
218,\N,8/8/1949,Colombian
219,\N,10/1/1942,French
220,\N,11/8/1947,Italian
221,\N,8/9/1944,French
222,\N,1/29/1950,South African
223,\N,9/5/1939,Swiss
224,\N,12/12/1946,Brazilian
225,\N,1/15/1953,Irish
226,\N,2/19/1952,British
227,\N,10/29/1951,British
228,\N,11/26/1953,South African
229,\N,8/31/1948,Austrian
230,\N,11/11/1937,Italian
231,\N,8/29/1947,British
232,\N,3/11/1943,Italian
233,\N,1/1/1951,German
234,\N,1/18/1950,Italian
235,\N,1/1/1945,Belgian
236,\N,2/12/1952,French
237,\N,11/7/1948,Brazilian
238,\N,2/14/1944,Swedish
239,\N,11/14/1945,American
240,\N,5/21/1942,American
241,\N,5/24/1953,Italian
242,\N,8/13/1944,British
243,\N,7/11/1943,German
244,\N,2/23/1946,Italian
245,\N,1/24/1943,British
246,\N,6/12/1948,Austrian
247,\N,10/2/1949,Dutch
248,\N,1/1/1938,Italian
249,\N,1/10/1953,American
250,\N,10/6/1944,Brazilian
251,\N,8/22/1947,South African
252,\N,6/11/1949,British
253,\N,2/28/1953,Brazilian
254,\N,12/12/1946,Italian
255,\N,11/20/1948,Swedish
256,\N,3/18/1950,Australian
257,\N,5/3/1949,Dutch
258,\N,10/13/1949,Belgian
259,\N,1/26/1945,British
260,\N,12/28/1939,Swedish
261,\N,9/19/1952,Belgian
262,\N,8/14/1942,British
263,\N,5/17/1948,Finnish
264,\N,5/9/1947,British
265,\N,12/30/1942,British
266,\N,12/13/1945,Australian
267,\N,3/19/1943,Australian
268,\N,3/16/1943,German
269,\N,7/26/1942,Belgian
270,\N,10/26/1947,British
271,\N,4/1/1950,Swiss
272,\N,1/29/1940,Japanese
273,\N,7/1/1947,Japanese
274,\N,6/6/1951,Japanese
275,\N,3/26/1941,Italian
276,\N,6/11/1947,British
277,\N,3/18/1946,French
278,\N,7/20/1943,New Zealander
279,\N,5/27/1944,Spanish
280,\N,9/25/1942,French
281,\N,4/19/1944,Danish
282,\N,11/17/1945,British
283,\N,1/7/1946,British
284,\N,8/31/1942,Italian
285,\N,3/3/1947,Austrian
286,\N,12/24/1949,Australian
287,\N,11/13/1945,Japanese
288,\N,3/18/1937,American
289,\N,2/15/1929,British
290,\N,12/25/1943,Brazilian
291,\N,12/1/1948,South African
292,\N,9/12/1944,South African
293,\N,10/27/1936,South African
294,\N,3/28/1952,British
295,\N,12/12/1948,Dutch
296,\N,12/4/1944,French
297,\N,7/23/1947,Swedish
298,\N,3/16/1942,Dutch
299,\N,3/10/1946,Japanese
300,\N,10/6/1941,New Zealander
301,\N,8/7/1944,British
302,\N,2/13/1948,British
303,\N,5/31/1942,Swiss
304,\N,6/18/1936,New Zealander
305,\N,4/2/1940,British
306,\N,4/26/1937,French
307,\N,12/24/1941,New Zealander
308,\N,9/22/1944,British
309,\N,2/27/1939,American
310,\N,5/13/1934,South African
311,\N,8/27/1942,Danish
312,\N,3/9/1937,British
313,\N,10/14/1947,Liechtensteiner
314,\N,9/26/1943,Australian
315,\N,5/23/1940,French
316,\N,8/5/1943,Finnish
317,\N,9/30/1941,Swedish
318,\N,10/12/1943,Swedish
319,\N,4/26/1944,French
320,\N,2/21/1940,British
321,\N,10/31/1941,British
322,\N,6/9/1939,British
323,\N,5/30/1939,Austrian
324,\N,11/3/1948,Austrian
325,\N,6/26/1935,Italian
326,\N,5/28/1938,Canadian
327,\N,2/25/1944,French
328,\N,6/11/1939,British
329,\N,4/13/1940,British
330,\N,10/2/1940,Italian
331,\N,1/16/1937,Brazilian
332,\N,1/27/1934,American
333,\N,10/3/1941,Italian
334,\N,11/22/1934,South African
335,\N,2/2/1948,British
336,\N,3/5/1940,New Zealander
337,\N,4/27/1943,Austrian
338,\N,6/10/1941,Australian
339,\N,10/29/1932,Spanish
340,\N,12/7/1924,Rhodesian
341,\N,2/11/1934,British
342,\N,11/16/1936,American
343,\N,12/26/1935,Canadian
344,\N,5/26/1944,American
345,\N,1/18/1940,Mexican
346,\N,7/7/1936,Swiss
347,\N,1/31/1930,Swedish
348,\N,2/24/1943,French
349,\N,7/27/1943,French
350,\N,6/10/1935,British
351,\N,4/24/1941,Swiss
352,\N,11/12/1945,Canadian
353,\N,4/11/1926,American
354,\N,11/17/1939,British
355,\N,6/21/1933,Canadian
356,\N,4/2/1926,Australian
357,\N,6/14/1943,British
358,\N,4/18/1942,Austrian
359,\N,1/18/1942,French
360,\N,8/30/1937,New Zealander
361,\N,5/27/1942,British
362,\N,3/16/1935,South African
363,\N,8/30/1941,Italian
364,\N,4/13/1931,American
365,\N,3/28/1935,German
366,\N,4/26/1937,American
367,\N,5/26/1938,British
368,\N,8/24/1921,Rhodesian
369,\N,4/19/1939,South African
370,\N,4/4/1940,British
371,\N,10/15/1921,Canadian
372,\N,7/23/1935,Canadian
373,\N,3/4/1936,British
374,\N,12/30/1936,British
375,\N,10/18/1933,Italian
376,\N,11/10/1934,Belgian
377,\N,5/18/1928,French
378,\N,5/27/1942,British
379,\N,4/19/1940,German
380,\N,10/1/1930,Australian
381,\N,2/20/1934,American
382,\N,12/26/1935,Mexican
383,\N,5/19/1931,British
384,\N,1/16/1930,South African
385,\N,12/21/1935,Italian
386,\N,8/5/1930,American
387,\N,9/24/1931,British
388,\N,6/27/1942,British
389,\N,7/12/1930,French
390,\N,1/12/1938,British
391,\N,9/7/1936,British
392,\N,3/13/1943,American
393,\N,4/26/1943,American
394,\N,12/25/1934,Italian
395,\N,10/26/1942,British
396,\N,4/27/1933,American
397,\N,11/8/1933,British
398,\N,4/14/1931,British
399,\N,3/23/1933,British
400,\N,7/27/1933,British
401,\N,12/26/1936,British
402,\N,10/23/1937,Italian
403,\N,4/20/1927,American
404,\N,6/12/1930,British
405,\N,4/5/1936,American
406,\N,10/12/1937,Australian
407,\N,10/9/1937,British
408,\N,2/9/1937,South African
409,\N,11/30/1935,South African
410,\N,9/25/1938,South African
411,\N,12/9/1920,South African
412,\N,1/7/1939,South African
413,\N,7/4/1938,South African
414,\N,7/11/1941,Rhodesian
415,\N,4/30/1932,South African
416,\N,5/18/1931,South African
417,\N,11/30/1932,South African
418,\N,2/29/1932,American
419,\N,8/18/1927,British
420,\N,9/22/1921,British
421,\N,5/15/1943,British
422,\N,4/17/1934,British
423,\N,8/30/1935,German
424,\N,10/4/1927,Italian
425,\N,3/4/1933,Italian
426,\N,1/20/1934,Italian
427,\N,10/30/1917,French
428,\N,10/7/1930,French
429,\N,10/6/1918,Belgian
430,\N,4/10/1934,Dutch
431,\N,1/26/1917,German
