driverId,raceId,position,q1,q2,q3
1,18,1,01:26.6,01:25.2,01:26.7
9,18,2,01:26.1,01:25.3,01:26.9
5,18,3,01:25.7,01:25.5,01:27.1
13,18,4,01:26.0,01:25.7,01:27.2
2,18,5,01:26.0,01:25.5,01:27.2
15,18,6,01:26.4,01:26.1,01:28.5
3,18,7,01:26.3,01:26.1,01:28.7
14,18,8,01:26.4,01:26.1,01:29.0
10,18,9,01:26.9,01:26.2,01:29.6
20,18,10,01:26.7,01:25.8,\N
22,18,11,01:26.4,01:26.2,\N
4,18,12,01:26.9,01:26.2,\N
18,18,13,01:26.7,01:26.3,\N
6,18,14,01:26.9,01:26.4,\N
17,18,15,01:26.9,\N,\N
8,18,16,01:26.1,\N,\N
21,18,17,01:27.2,\N,\N
7,18,18,01:27.4,\N,\N
16,18,19,01:27.9,\N,\N
11,18,20,01:28.2,\N,\N
12,18,21,01:28.3,\N,\N
19,18,22,01:29.1,\N,\N
13,19,1,01:35.3,01:34.4,01:35.7
8,19,2,01:35.6,01:34.2,01:36.2
5,19,3,01:35.2,01:34.8,01:36.6
1,19,4,01:35.4,01:34.6,01:36.7
15,19,5,01:35.2,01:35.0,01:36.7
9,19,6,01:35.8,01:34.8,01:36.7
2,19,7,01:35.7,01:34.6,01:36.8
17,19,8,01:35.4,01:35.0,01:37.0
4,19,9,01:36.0,01:35.1,01:38.5
10,19,10,01:35.9,01:35.0,01:39.7
18,19,11,01:35.8,01:35.2,\N
14,19,12,01:36.1,01:35.4,\N
12,19,13,01:36.1,01:35.6,\N
22,19,14,01:36.2,01:35.6,\N
20,19,15,01:36.1,01:35.6,\N
3,19,16,01:35.8,01:35.7,\N
21,19,17,01:36.2,\N,\N
6,19,18,01:36.4,\N,\N
7,19,19,01:36.7,\N,\N
11,19,20,01:37.1,\N,\N
16,19,21,01:37.1,\N,\N
19,19,22,01:37.5,\N,\N
9,20,1,01:32.9,01:31.7,01:33.1
13,20,2,01:31.9,01:31.2,01:33.1
1,20,3,01:32.7,01:31.9,01:33.3
8,20,4,01:32.7,01:31.9,01:33.4
5,20,5,01:33.1,01:31.7,01:33.5
2,20,6,01:33.1,01:31.9,01:33.7
15,20,7,01:32.5,01:32.2,01:34.0
3,20,8,01:32.9,01:32.2,01:34.0
18,20,9,01:32.8,01:32.4,01:35.1
4,20,10,01:32.9,01:32.3,01:35.1
17,20,11,01:33.2,01:32.4,\N
22,20,12,01:32.9,01:32.5,\N
10,20,13,01:32.8,01:32.5,\N
12,20,14,01:33.0,01:32.8,\N
7,20,15,01:33.4,01:32.9,\N
6,20,16,01:33.4,01:32.9,\N
14,20,17,01:33.4,\N,\N
21,20,18,01:33.5,\N,\N
20,20,19,01:33.6,\N,\N
16,20,20,01:33.8,\N,\N
19,20,21,01:34.1,\N,\N
11,20,22,01:35.7,\N,\N
8,21,1,01:20.7,01:20.8,01:21.8
4,21,2,01:21.3,01:20.8,01:21.9
13,21,3,01:21.5,01:20.6,01:22.1
9,21,4,01:21.4,01:20.6,01:22.1
1,21,5,01:21.4,01:20.8,01:22.1
5,21,6,01:21.4,01:20.8,01:22.2
17,21,7,01:21.5,01:21.0,01:22.4
15,21,8,01:21.2,01:20.9,01:22.5
2,21,9,01:21.5,01:20.8,01:22.5
12,21,10,01:21.4,01:20.9,01:22.7
22,21,11,01:21.5,01:21.0,\N
