driverId,raceId,grid,position,positionText,positionOrder,points,laps,fastestLap,rank,race_ms,fastestLapTime,fastestLapSpeed,statusId
1,18,1,1,1,1,10,58,39,2,5690616,01:27.5,218.3,1
2,18,5,2,2,2,8,58,41,3,5696094,01:27.7,217.586,1
3,18,7,3,3,3,6,58,41,5,5698779,01:28.1,216.719,1
4,18,11,4,4,4,5,58,58,7,5707797,01:28.6,215.464,1
5,18,3,5,5,5,4,58,43,1,5708630,01:27.4,218.385,1
6,18,13,6,6,6,3,57,50,14,\N,01:29.6,212.974,11
7,18,17,7,7,7,2,55,22,12,\N,01:29.5,213.224,5
8,18,15,8,8,8,1,53,20,4,\N,01:27.9,217.18,5
9,18,2,\N,R,9,0,47,15,9,\N,01:28.8,215.1,4
10,18,18,\N,R,10,0,43,23,13,\N,01:29.6,213.166,3
11,18,19,\N,R,11,0,32,24,15,\N,01:30.9,210.038,7
12,18,20,\N,R,12,0,30,20,16,\N,01:31.4,208.907,8
13,18,4,\N,R,13,0,29,23,6,\N,01:28.2,216.51,5
14,18,8,\N,R,14,0,25,21,11,\N,01:29.5,213.3,4
15,18,6,\N,R,15,0,19,18,10,\N,01:29.3,213.758,10
16,18,22,\N,R,16,0,8,8,17,\N,01:32.0,207.461,9
17,18,14,\N,R,17,0,0,\N,\N,\N,\N,\N,4
18,18,12,\N,R,18,0,0,\N,\N,\N,\N,\N,4
19,18,21,\N,R,19,0,0,\N,\N,\N,\N,\N,4
20,18,9,\N,R,20,0,0,\N,\N,\N,\N,\N,4
21,18,16,\N,R,21,0,0,\N,\N,\N,\N,\N,4
22,18,10,\N,D,22,0,58,44,8,\N,01:28.7,215.141,2
8,19,2,1,1,1,10,56,37,2,5478555,01:35.4,209.158,1
9,19,4,2,2,2,8,56,39,6,5498125,01:35.9,208.033,1
5,19,8,3,3,3,6,56,19,7,5517005,01:35.9,208.031,1
15,19,3,4,4,4,5,56,53,8,5524387,01:36.1,207.715,1
1,19,9,5,5,5,4,56,53,3,5525103,01:35.5,209.033,1
2,19,5,6,6,6,3,56,55,1,5528388,01:35.4,209.244,1
17,19,6,7,7,7,2,56,53,12,5546685,01:36.7,206.366,1
4,19,7,8,8,8,1,56,40,10,5548596,01:36.3,207.24,1
14,19,12,9,9,9,0,56,55,9,5554775,01:36.2,207.417,1
18,19,11,10,10,10,0,56,56,4,5564769,01:35.7,208.481,1
12,19,13,11,11,11,0,56,52,15,5570757,01:37.0,205.812,1
21,19,17,12,12,12,0,55,52,16,\N,01:37.0,205.8,11
22,19,14,13,13,13,0,55,55,11,\N,01:36.7,206.372,11
3,19,16,14,14,14,0,55,55,13,\N,01:36.8,206.182,11
19,19,21,15,15,15,0,55,55,18,\N,01:38.2,203.265,11
11,19,19,16,16,16,0,54,53,19,\N,01:38.5,202.578,12
6,19,22,17,17,17,0,54,19,17,\N,01:37.7,204.222,12
20,19,15,\N,R,18,0,39,37,14,\N,01:36.9,205.995,5
13,19,1,\N,R,19,0,30,15,5,\N,01:35.9,208.048,20
16,19,20,\N,R,20,0,5,3,20,\N,01:40.3,198.891,9
10,19,10,\N,R,21,0,1,\N,\N,\N,\N,\N,4
7,19,18,\N,R,22,0,0,\N,\N,\N,\N,\N,20
13,20,2,1,1,1,10,57,38,3,5466970,01:33.6,208.153,1
8,20,4,2,2,2,8,57,35,4,5470309,01:33.7,207.911,1
9,20,1,3,3,3,6,57,55,5,5471968,01:33.8,207.765,1
2,20,6,4,4,4,5,57,48,2,5475379,01:33.6,208.231,1
5,20,5,5,5,5,4,57,49,1,5493759,01:33.2,209.062,1
