driverId,raceId,grid,position,points,quali_ms,fastestLap,fastestLapTime,statusId
830,1061,2,1,3,1538426,14,01:30.0,1
1,1061,1,2,2,1539856,17,01:29.9,1
822,1061,3,3,1,1545928,17,01:30.0,1
844,1061,4,4,0,1549704,16,01:30.2,1
846,1061,6,5,0,1562537,16,01:30.6,1
817,1061,7,6,0,1569385,17,01:30.6,1
4,1061,11,7,0,1581953,17,01:31.8,1
20,1061,10,8,0,1582865,17,01:31.7,1
847,1061,8,9,0,1585078,17,01:32.2,1
839,1061,13,10,0,1585821,16,01:32.2,1
832,1061,9,11,0,1586224,10,01:32.0,1
842,1061,12,12,0,1587189,17,01:32.1,1
8,1061,17,13,0,1589103,12,01:32.1,1
840,1061,15,14,0,1590605,12,01:32.2,1
841,1061,14,15,0,1591651,14,01:32.5,1
852,1061,16,16,0,1591993,14,01:32.3,1
849,1061,18,17,0,1593588,17,01:32.1,1
854,1061,19,18,0,1606639,15,01:32.6,1
853,1061,20,19,0,1616074,3,01:33.5,1
815,1061,5,\N,0,\N,6,01:31.5,76
822,1065,1,1,3,1674078,9,01:23.5,1
830,1065,3,2,2,1676403,9,01:23.5,1
817,1065,5,3,1,1688612,17,01:24.3,1
846,1065,4,4,0,1692913,9,01:24.6,1
1,1065,2,5,0,1694089,9,01:24.3,1
844,1065,8,6,0,1697520,18,01:24.7,1
832,1065,7,7,0,1702030,8,01:24.9,1
841,1065,10,8,0,1705167,10,01:25.1,1
815,1065,9,9,0,1705758,12,01:24.2,1
840,1065,12,10,0,1712749,8,01:25.3,1
4,1065,13,11,0,1713873,8,01:25.2,1
20,1065,11,12,0,1715255,8,01:25.5,1
839,1065,14,13,0,1717451,8,01:25.6,1
849,1065,16,14,0,1720055,9,01:25.7,1
847,1065,15,15,0,1720899,15,01:25.8,1
852,1065,17,16,0,1724055,18,01:25.8,1
853,1065,20,17,0,1736677,7,01:26.6,1
9,1065,19,18,0,1739174,12,01:26.8,1
854,1065,18,19,0,1740232,7,01:26.8,1
842,1065,6,\N,0,\N,\N,\N,3
822,1071,2,1,3,1749559,8,01:12.3,1
830,1071,1,2,2,1750729,9,01:12.1,1
832,1071,5,3,1,1768282,13,01:13.2,1
815,1071,3,4,0,1769346,13,01:13.1,1
1,1071,20,5,0,1770431,5,01:12.4,1
846,1071,7,6,0,1772117,8,01:13.0,1
844,1071,6,7,0,1774615,4,01:13.1,1
842,1071,4,8,0,1783717,4,01:13.3,1
839,1071,10,9,0,1784191,11,01:13.6,1
20,1071,11,10,0,1784426,5,01:13.6,1
817,1071,8,11,0,1785428,9,01:13.5,1
4,1071,9,12,0,1786137,4,01:13.4,1
841,1071,14,13,0,1791439,11,01:13.6,1
840,1071,15,14,0,1793596,9,01:13.7,1
852,1071,12,15,0,1795709,11,01:13.7,1
