"driverId","raceId","grid","results_position","positionText","positionOrder","results_points","results_laps","fastestLap","rank","race_ms","results_fastestlaptime","fastestLapSpeed","statusId","status"
1,18,1,"1","1",1,"10",58,"39","2","5690616","01:27.5","218.3",1,"Finished"
2,18,5,"2","2",2,"8",58,"41","3","5696094","01:27.7","217.586",1,"Finished"
3,18,7,"3","3",3,"6",58,"41","5","5698779","01:28.1","216.719",1,"Finished"
4,18,11,"4","4",4,"5",58,"58","7","5707797","01:28.6","215.464",1,"Finished"
5,18,3,"5","5",5,"4",58,"43","1","5708630","01:27.4","218.385",1,"Finished"
30,111,1,"1","1",1,"10",62,NULL,NULL,"5292058",NULL,NULL,1,"Finished"
8,111,6,"2","2",2,"8",62,NULL,NULL,"5293940",NULL,NULL,1,"Finished"
22,111,3,"3","3",3,"6",62,NULL,NULL,"5294349",NULL,NULL,1,"Finished"
23,111,2,"4","4",4,"5",62,NULL,NULL,"5300861",NULL,NULL,1,"Finished"
14,111,12,"5","5",5,"4",62,NULL,NULL,"5301469",NULL,NULL,1,"Finished"
4,111,8,"6","6",6,"3",62,NULL,NULL,"5335747",NULL,NULL,1,"Finished"
31,111,4,"7","7",7,"2",62,NULL,NULL,"5337329",NULL,NULL,1,"Finished"
30,112,1,"1","1",1,"10",65,NULL,NULL,"5626933",NULL,NULL,1,"Finished"
4,112,3,"2","2",2,"8",65,NULL,NULL,"5632633",NULL,NULL,1,"Finished"
22,112,2,"3","3",3,"6",65,NULL,NULL,"5644933",NULL,NULL,1,"Finished"
8,19,2,"1","1",1,"10",56,"37","2","5478555","01:35.4","209.158",1,"Finished"
9,19,4,"2","2",2,"8",56,"39","6","5498125","01:35.9","208.033",1,"Finished"
5,19,8,"3","3",3,"6",56,"19","7","5517005","01:35.9","208.031",1,"Finished"
15,19,3,"4","4",4,"5",56,"53","8","5524387","01:36.1","207.715",1,"Finished"
1,19,9,"5","5",5,"4",56,"53","3","5525103","01:35.5","209.033",1,"Finished"
2,19,5,"6","6",6,"3",56,"55","1","5528388","01:35.4","209.244",1,"Finished"
17,19,6,"7","7",7,"2",56,"53","12","5546685","01:36.7","206.366",1,"Finished"
